term,tag
schroder,NNP
scams,NNS
schemes,NNS
sci,NNP
scammers,NNS
scheme,NN
scared,JJ
schoolchildren,NN
scattered,VBN
screens,NNS
schweiz,NNP
schaefer,NNP
scientist,NN
scott,NNP
scherer,NNP
schlemmer,NNP
scandal,NN
scarce,JJ
screened,VBD
scrupulously,RB
school-board,NN
scoring,NNP
scandals,NNS
scale,NN
scarcely,RB
scotland,NNP
scrounge,VBP
scrape,VB
scowcroft,NNP
scannell,NNP
school-research,JJ
score,NN
scypher,NNP
scientists,NNS
screwed,VBD
scrutinizing,VBG
schmidt,NNP
scans,VBZ
scheduled,VBN
scant,JJ
scotia,NNP
scientific,JJ
schedule,NN
scripps,NNP
screen,NN
screenwriters,NNS
schwab,NNP
scrutiny,NN
school-improvement,JJ
scuttle,VB
school-sponsored,JJ
scores,NNS
schools,NNS
scrapped,VBN
schoolboys,NNS
school-district,NN
scholars,NNS
school,NNP
schoolteacher,NN
scholar,NN
scenario,NN
scholarly,JJ
scrambling,VBG
science,NN
scripts,NNS
scenes,NNS
scoffs,VBZ
scandinavian,JJ
scoop,VB
scrambled,VBD
scholastic,NNP
scaring,VBG
scenic,JJ
scream,VB
