term,tag
sector,NN
seasonal,JJ
severable,JJ
serving,VBG
seven-million-ton,JJ
september,NNP
settlements,NNS
setback,NN
session,NN
seats,NNS
settlement,NN
seemed,VBD
segments,NNS
sentence,NN
seems,VBZ
send,VB
seasonally,RB
sell-off,NN
sent,VBD
seized,VBD
seeking,VBG
sellers,NNS
servicing,NN
secondary,JJ
sensational,JJ
sentimental,JJ
sen.,NNP
semiannual,JJ
serves,VBZ
securities,NNS
settle,VB
served,VBD
security,NN
sebastian,NNP
seven-day,JJ
sew,VB
set,VBD
senate,NNP
series,NNP
sensitivity,NN
sensation,NN
seat,NN
second,JJ
sec,NNP
secilia,NNP
sea,NNP
separately,RB
semicircular,JJ
sentiment,NN
severance,NN
section,NN
selected,VBN
seller,NN
semiconductor,NN
seriously,RB
seeks,VBZ
seattle-based,JJ
sept.,NNP
seconds,NNS
seventh,JJ
seven-year,JJ
separation,NN
sexy,JJ
seniors,NNP
serviced,VBN
sell-offs,NNS
sending,VBG
search,NN
senate-house,JJ
self-serving,JJ
seahorse,NNP
second-largest,JJ
sensitive,JJ
secretary,NN
settled,VBD
seeing,VBG
several-year,JJ
semiconductors,NNS
services,NNS
sewing-machine,NN
secede,VB
select,VB
service,NN
sends,VBZ
secret,NN
seasoned,JJ
security-type,JJ
self-aggrandizing,JJ
sections,NNS
search-and-seizure,JJ
selling,VBG
seymour,NNP
season,NN
serve,VB
searching,VBG
serial,NN
sex,NN
self-esteem,NN
see,VB
seven,CD
sees,VBZ
seed,NN
sense,VBP
seen,VBN
sells,VBZ
seattle,NNP
seek,VBP
seem,VBP
seminar,NN
sell,VB
seduce,VB
semiliterate,JJ
secured,VBN
setting,VBG
semesters,NNS
several,JJ
segmenting,VBG
self-perpetuating,JJ
seoul,NNP
separate,JJ
senses,NNS
searched,VBD
seagate,NNP
sept.30,CD
sentencing,VBG
segment,NN
self-regulatory,JJ
seven-yen,JJ
securities-based,JJ
sectors,NNS
seize,VB
seafood,NN
severe,JJ
sewer,NN
sets,VBZ
serious,JJ
senior,JJ
self,NN
