term,tag
shop,NN
shot,NN
show,VB
shaky,JJ
shape,NN
shake,VB
sheepskin,NN
shudders,NNS
sheaf,NN
ships,NNS
should,MD
shovels,NNS
shoring,VBG
shadows,NNS
showing,VBG
shugart,NNP
showings,NNS
shaping,VBG
shoulder,NN
shipboard,NN
shepperd,NNP
she,PRP
shortage,NN
shapiro,NNP
shed,VBD
sharedata,NNP
shirts,NNS
short-term,JJ
shrug,VB
shown,VBN
shareholder-rights,JJ
short-lived,JJ
shrum,NNP
shivers,NNS
showa,NNP
shares,NNS
shambles,NN
shared,VBN
shows,VBZ
shut,VB
sheffield,NNP
shaken,VBN
shift,NN
shokubai,NNP
shipping,VBG
shipped,VBN
shaded,JJ
shedding,VBG
shopped,VBD
shipyard,NN
shipbuilding,NN
shrinking,VBG
sherwin,NNP
sheep,NNP
shareholders,NNS
sheet,NN
sharper,JJR
short-wave,JJ
shell,NNP
shopping,VBG
shortages,NNS
shelf,NN
shallow,JJ
sharply,RB
shoot,VB
showed,VBD
shops,NNS
shrinks,VBZ
share,NN
shirt-sleeved,JJ
shame,NN
sharp,JJ
ship,NN
shearson,NNP
shaw,NNP
shelby,NNP
sherwood,NNP
shorter,JJR
shipyards,NNS
shuttle,NN
shipments,NNS
shall,MD
shelter,NN
shores,NNP
shangkun,NNP
shareholder,NN
shrank,VBD
sheets,NNS
short,JJ
shortly,RB
shuxian,NNP
shore,VB
