term,tag
souper,NNP
sotheby,NNP
sorts,NNS
softening,VBG
soybeans,NNPS
soldado,NNP
some,DT
sol,NNP
son,NN
society,NNP
soaring,VBG
softer,JJR
something,NN
soldiers,NNS
sought,VBD
solvent,JJ
soviets,NNPS
sounding,VBG
solutions,NNS
sounds,VBZ
solomonic,JJ
sometimes-exhausting,JJ
sonny,NNP
sociology,NN
solicitation,NN
soup,NNP
solemn,JJ
solely,RB
solution,NN
soliciting,VBG
source,NN
socialism,NN
soared,VBN
sometimes-tawdry,JJ
sorry,JJ
social-studies,NN
sonnett,NNP
solaia,NNP
sort,NN
someone,NN
somebody,NN
sogo-shosha,NN
sold,VBD
sole,JJ
southern,NNP
soured,JJ
sooner,RBR
soon,RB
southeast,NNP
somehow,RB
somewhat,RB
sony,NNP
sophisticated,JJ
somerset,NNP
solidarity,NN
sound,JJ
so-called,JJ
solicitor,NN
sorting,VBG
sources,NNS
solid,JJ
soft,JJ
socialist,JJ
sometimes,RB
soul,NN
solihull,NNP
solved,VBD
soups,NNP
so,IN
soho,NNP
social,JJ
solicitous,JJ
soviet,NNP
sounded,VBD
south,RB
software,NN
