term,tag
spurred,VBN
spaces,NNS
spiders,NNS
spinoff,NN
speed,NN
spurring,VBG
sputtered,VBD
spite,NN
spread,VBN
spain,NNP
sparking,VBG
spun,VBN
spectacular,JJ
sparkplugs,NNS
sponsors,NNS
spoon,NNP
spook,VBP
spackle,VB
speculate,VB
spur,VB
spilling,NN
spokewoman,NN
specific,JJ
speculation,NN
spotted,VBD
spring,NN
sponsor,NN
speculators,NNS
specified,VBN
sprightly,JJ
sprint,NNP
spin-off,NN
special,JJ
speculator,NN
spirits,NNS
spiro,NNP
space,NN
spokesman,NN
specialist,NN
sparked,VBD
spielvogel,NNP
spillane,NNP
speeches,NNS
spitler,NNP
specialize,VB
sprawling,JJ
sparing,VBG
specifics,NNS
spanish,NNP
speculated,VBD
springs,NNP
spark,VB
speak,VB
specializing,VBG
spoke,VBD
spurned,VBD
spending,NN
sports,NNS
speaking,VBG
specialty,NN
sports-oriented,JJ
spiegel,NNP
specialists,NNS
spirit,NN
specify,VB
specializes,VBZ
spokeswoman,NN
specialized,VBN
spenders,NNS
spectrum,NN
speedway,NN
sphere,NN
spooked,VBN
spends,VBZ
spaghetti,NNP
speculative,JJ
spreads,NNS
species,NN
speculating,VBG
sport-utility,JJ
speech,NN
split,VBN
speaks,VBZ
springfield,NNP
spurns,VBZ
spot,NN
spectacularly,RB
spouse,NN
spence,NNP
spent,VBD
spend,VBP
