term,tag
stones,NNS
stores,NNPS
stunned,JJ
strengthened,VBD
steve,NNP
stored,VBD
steelmakers,NNS
stepping,VBG
stockpiles,NNS
still,RB
stock-index,JJ
staff,NN
style,NN
stephens,NNP
stock-picking,JJ
stockholders,NNS
striking,JJ
statewide,JJ
studiously,RB
stability,NN
stable,JJ
stephen,NNP
stalemate,NN
stena,NNP
struggling,VBG
styles,NNS
string,VB
stung,VBN
stop,VB
stock-specialist,JJ
stirlen,NNP
stays,VBZ
stabbed,VBN
stepped,VBD
structural,JJ
stereo,NN
stiff,JJ
stevenson,NNP
strictly,RB
standards,NNS
steelworkers,NNP
stupid,JJ
stopped,VBN
stockholm,NNP
stronach,NNP
steal,VB
sterling,NNP
stadium,NN
streets,NNS
stockbrokers,NNS
strongest,JJS
street,NN
stamford,NNP
stigma,NN
strindberg,NNP
stearn,NNP
staid,VBN
stood,VBD
stands,VBZ
sticker-shock,NN
state,NNP
stuff,NN
steps,VBZ
staffs,NNS
staff-reduction,NN
stern,NNP
stare,VBP
stock-manipulation,JJ
stance,NN
strapped,VBN
stieglitz,NNP
stereotyped,JJ
standard,NNP
stock-price,NN
stiffer,JJR
step,NN
state-appointed,JJ
studio,NN
struggle,NN
standpoint,NN
strong,JJ
stage,NN
stresses,VBZ
stellar,JJ
stone,NN
stations,NNS
starts,VBZ
study,NN
stretching,VBG
staunchly,RB
strains,NNS
statement,NN
stock-selection,JJ
stand,VBP
stoked,VBN
stressed,VBN
studies,NNS
stuck,VBD
stakes,NNS
sticking,VBG
student,NN
stevens,NNP
steinberg,NNP
strategic,JJ
stretched,VBD
steven,NNP
standing,NN
startling,JJ
story,NN
statistics,NNS
stringently,RB
start,NN
stretch,VBP
stoppage,NN
st.,NNP
structured,VBN
stark,JJ
strategy,NN
strip,VB
strict,JJ
station,NN
stars,NNS
stripped,VBN
strike,VB
structures,NNS
start-up,NN
store,NN
stork,NNP
standardized,JJ
state-supervised,JJ
starters,NNS
started,VBN
staggering,JJ
stirred,VBD
stick,VB
stanley,NNP
stifle,VB
stairs,NNS
steel,NN
stacked,VBN
stanford,NNP
state-owned,JJ
straight,RB
strong-willed,JJ
stories,NNP
stature,NN
strategies,NNS
stages,NNS
steep,JJ
stimulating,VBG
strongly,RB
strother,NNP
student-test,JJ
studied,VBN
steelmaker,NN
stream,NN
stated,VBD
stacking,VBG
stronger,JJR
sticker,NN
strait,NNP
stressing,VBG
sticky,JJ
states,NNS
strain,NN
stoll,NNP
stalls,NNS
stirrings,NNS
stockbroker,NN
steeper,JJR
stemmed,VBD
strength,NN
stadiums,NNS
studying,VBG
stake,NN
storage,NN
stayed,VBD
stuart,NNP
stock-market,NN
stimulated,VBN
stemming,VBG
struggled,VBD
stock,NN
status,NN
staying,VBG
star,NN
students,NNS
steadily,RB
structurally,RB
stay,VB
stag,NNP
statutory,JJ
statue,NN
striving,VBG
stocks,NNS
structure,NN
statute,NN
stress,NN
stephanie,NNP
steady,JJ
storm,NN
sternberg,NNP
stewart,NNP
starting,VBG
strings,NNS
stem,VB
