term,tag
surrey,NNP
summer,NN
surplus,NN
suburban,JJ
supported,VBN
superconductors,NNS
sustained,VBN
superimposed,VBN
suffer,VB
succeeding,VBG
superior,JJ
supposedly,RB
sumitomo,NNP
supply,NN
sugarman,NNP
supercomputers,NNS
suddenly,RB
surveyed,VBN
suspension,NN
suffered,VBD
surprised,VBN
sued,VBD
survival,NN
supercomputer,NN
sums,NNS
suffering,NN
subtraction,NN
subscribers,NNS
surprise,NN
surgeon,NN
subordinated,VBN
successor,NN
success,NN
sundays,NNS
suppliers,NNS
summary,NN
sufficiently,RB
succession,NN
superintendent,NN
successfully,RB
surrounding,VBG
subcommittee,NN
surrendered,VBD
substantially,RB
subordinate,JJ
surgery,NN
supportive,JJ
substitute,NN
subject,JJ
suspects,NNS
subsequent,JJ
sum,NN
substance-abusing,JJ
sub-segments,NNS
suspect,VBP
summoned,VBD
surfaced,VBD
supplier,NN
supplies,NNS
supports,VBZ
superiors,NNS
subscriptions,NNS
supermarket,NN
sutcliffe,NNP
succeed,VB
surely,RB
sulfur-dioxide,NN
superconductor,NN
suggested,VBD
substance,NN
survivor,NN
subskills,NNS
suisse,NNP
surge,VB
sub-markets,NNS
survey,NN
suspend,VB
surviving,VBG
succeeds,VBZ
sullivan,NNP
summons,NN
subscribe,VB
subcontractor,NN
surpluses,NNS
sunlight,NN
suspended,VBD
suing,VBG
suitors,NNS
superdot,NNP
sugar,NN
suspensions,NNS
support,VB
submit,VB
subscriber,NN
subpoenaed,VBN
suit,NN
survive,VB
supporters,NNS
successful,JJ
subjecting,VBG
subindustry,NN
surreptitiously,RB
subdued,VBN
superdome,NNP
subsidiary,NN
surrender,NN
surged,VBD
supplemental,JJ
subscription,NN
subcontractors,NNS
succeeded,VBD
sudden,JJ
subskill,NN
supercilious,JJ
supreme,NNP
surprisingly,RB
super-absorbent,JJ
substantial,JJ
sulaiman,NNP
suggests,VBZ
subminimum,NN
suggest,VB
sunday,NNP
subjects,NNS
sufficiency,NN
subsidiaries,NNS
sufficient,JJ
subsidize,VB
sure,JJ
sunny,JJ
sue,VB
superpremiums,NNS
suppression,NN
such,JJ
surprising,JJ
susan,NNP
summer\/winter,JJ
sun,NNP
