term,tag
talked,VBN
tassinari,NNP
taste,NN
taizo,NNP
tax,NN
takuma,NNP
tad,NN
talking,VBG
tapping,VBG
taught,VBD
tasty,JJ
talcott,NNP
takashima,NNP
talks,NNS
table,NN
taiwan,NNP
tache,NNP
targets,VBZ
takings,NNS
tabloid,JJ
targeting,VBG
takes,VBZ
taxpayer,NN
taittinger,NNP
tailoring,VBG
tatsunori,NNP
tablets,NNS
takeover-stock,JJ
tailor-made,JJ
take,VB
talk-show,NN
taken,VBN
tally,NN
tags,NNS
targeted,VBN
tallies,NNS
taxation,NN
tailors,NNP
taurus,NNP
tarwhine,NNP
takeover,NN
tackle,VB
taxable,JJ
tariff,NN
tailored,VBN
task,NN
tactics,NNS
target,NN
tapes,NNS
taper,VB
taking,VBG
tanked,VBN
taxes,NNS
taxpayers,NNS
tandy,NNP
tag,NN
taipei,NNP
takeshi,NNP
tall,JJ
taccetta,NNP
taylor,NNP
talk,NN
