term,tag
thomas,NNP
theme,NN
thwart,VB
third-largest,JJ
thus,RB
third-quarter,NN
theaters,NNS
through,IN
thanks,NNS
three-quarters,NNS
thrall,NNP
throughout,IN
thieves,NNS
third-highest,JJS
three-lawyer,JJ
three-sevenths,NNS
thugs,NNS
threats,NNS
thing,NN
thinking,VBG
things,NNS
there,EX
thumbs,NNS
three,CD
thursday,NNP
thinks,VBZ
thumbing,VBG
their,PRP$
threat,NN
three-digit,JJ
therefore,RB
themselves,PRP
thousands,NNS
therapies,NNS
thrifts,NNS
then,RB
them,PRP
theory,NN
that,IN
theodore,NNP
thousand,CD
thin-lipped,JJ
threatened,VBN
then-speaker,JJ
therapy,NN
they,PRP
thailand,NNP
thai,NNP
than,IN
those,DT
thrift,NN
thread,NN
third,JJ
this,DT
thunderbird,NNP
throws,VBZ
thought,VBN
these,DT
three-month,JJ
thirtysomething,NN
three-year,JJ
thin,JJ
though,RB
threatens,VBZ
the,DT
think,VBP
thunder,NN
theological,JJ
