term,tag
toilet,NN
tone,NN
totaling,VBG
topix,NNP
tony,NNP
tons,NNS
tours,NNS
townes,NNP
toys,NNPS
touch,NN
top-level,JJ
total,VB
tools,NNS
toledo,NNP
totaled,VBD
toast,NN
touches,VBZ
toy,NN
tough,JJ
top-selling,JJ
totally,RB
top,JJ
torn,VBN
tort,NN
tow,NN
topped,VBN
tomorrow,NN
tots,NNPS
to,TO
ton,NN
too,RB
tom,NNP
topics,NNS
today,NN
told,VBD
town,NN
tows,NNS
tool,NN
toll,NN
took,VBD
tokio,NNP
towns,NNS
tourism,NNP
touched,VBD
top-yielding,JJ
toronto,NNP
tooth,NN
toronto-based,JJ
tote,VB
tobacco,NN
tokyo,NNP
touchy,JJ
tormentors,NNS
tolerate,VB
together,RB
touted,VBN
tour,NN
torrington,NNP
tokyu,NNP
tower,NNP
toward,IN
torrent,NN
