term,tag
triton,NNP
trustco,NNP
transplants,NNS
trade,NNP
trespass,VBP
traitor,NN
transporting,VBG
trivial,JJ
troubles,NNS
tramp,NNP
transformed,VBD
treatment,NN
treasury,NNP
troubled,JJ
trimming,VBG
trettien,NNP
trees,NNS
traffic,NN
trouble,NN
traficant,NNP
treating,VBG
trucks,NNS
trailed,VBD
traced,VBD
try,VBP
trimmed,VBN
trudeau,NNP
trap,NN
truth,NN
tray,NNP
trailer,NNP
traverse,NNP
transcribe,VBP
trend,NN
transaction,NN
trends,NNS
trading,NN
traveling,VBG
tracked,VBN
track,NN
training-wage,JJ
troop,NN
transportation,NN
trs-80,NNP
tracks,VBZ
tripled,VBD
training,NN
triple-c,NN
trader,NN
transition,NN
trial,NN
transplantation,NN
traded,VBN
treble,NNP
tribe,NNP
travelers,NNPS
traveled,VBD
tribune,NNP
trained,VBN
trust,NN
trays,NNS
transplant,NNP
troops,NNS
tremendous,JJ
transfer,VB
trillion,CD
trademark,NN
transamerica,NNP
trigger,NN
treat,VB
trockenbeerenauslesen,NNP
trinity,NNP
triple-a-rated,JJ
triggered,VBN
transferring,VBG
trail,VB
train,NNP
trying,VBG
true,JJ
trojan,NNP
tree,NN
trans,NNP
treated,VBD
triple-a,JJ
trim,VB
troublesome,JJ
trades,NNS
trump,NNP
triple,RB
trip,NN
traditionally,RB
transacting,VBG
trials,NNS
travel,NN
traders,NNS
traditionalists,NNS
trash,VB
truthful,JJ
tried,VBD
trace,NNP
transactions,NNS
transforming,VBG
truth-in-lending,NN
transfers,NNS
tradition,NN
tricky,JJ
tracking,VBG
treats,VBZ
travel-related,JJ
trotter,NNP
trading-company,NN
traditional,JJ
truck,NNP
trafficking,NN
trains,NNS
truce,NN
