term,tag
vicar,NN
via,IN
violation,NN
video-viewing,JJ
vindication,NN
visible,JJ
video,NNP
victim,NN
village,NNP
vicious,JJ
virginians,NNPS
viewed,VBN
victor,NNP
vicars,NNS
virtue,NN
violate,VBP
visiting,VBG
vintage,NN
visit,NN
vision,NN
vineyard,NNP
virgin,NNP
vital,JJ
virtually,RB
vichy,NNP
violations,NNS
violated,VBD
vitulli,NNP
violating,VBG
victims,NNS
viewpoint,NN
views,NNS
vinken,NNP
visits,NNS
virtues,NNS
visitors,NNS
viewing,VBG
visa,NNP
viewpoints,NNS
vinyl,NN
visited,VBD
viewership,NN
viewers,NNS
vice,NN
vicissitudes,NNS
vitriolic,JJ
violence,NN
vintages,NNS
videocassette,NN
victory,NN
viacom,NNP
vitally,RB
virginia,NNP
view,NN
