term,tag
walking,VBG
waive,VB
wall,NNP
warns,VBZ
warrants,NNS
washington,NNP
watches,NNS
walk,VBP
walt,NNP
warrenton,NNP
warning,VBG
want,VB
watched,VBN
wages,NNS
wafa,NNP
wakayama,NNP
warsaw,NNP
wash.,NNP
walters,NNP
watanabe,NNP
walbrecher,NNP
ways,NNS
wafers,NNS
warehouses,NNS
warnings,NNS
wakui,NNP
waterworks,NN
walkout,NN
wayland,NNP
waiting,VBG
wayne,NNP
waertsilae,NNP
way,NN
watchdogs,NNS
warehouse,NNP
wanting,VBG
warned,VBD
waste,NN
warrant,NN
war,NNP
warranties,NNS
war-damaged,JJ
wants,VBZ
wadsworth,NNP
wa,NNP
watching,VBG
waters,NNS
watch,VBP
waif,NN
wave,NN
water,NN
walker,NNP
watson,NNP
watchers,NNS
wake,NN
wasted,VBN
ward,VB
wanted,VBD
warming,NN
wait,VB
wallach,NNP
warn,VBP
water-authority,NN
wallowing,VBG
washington-based,JJ
waterloo,NNP
walkman,NNP
warehousing,NN
waived,VBD
was,VBD
waivers,NNS
walls,NNS
waymar,NNP
wamre,NNP
waiver,NN
wary,JJ
wage,NN
waiving,VBG
war-rationed,JJ
warren,NNP
waited,VBD
warner,NNP
