term,tag
weatherly,NNP
webb,NNP
weaker,JJR
weisfield,NNP
weight,NN
welcomed,VBN
weddings,NNS
weapons-modernization,JJ
wellington,NNP
weighed,VBD
weather,NN
welfare,NN
wedded,VBN
weekly,JJ
web,NN
wealth,NN
wellcome,NNP
west,NNP
weekends,NNS
westminster,NNP
well-connected,JJ
weakening,NN
westport,NNP
weeks,NNS
weaken,VB
week,NN
weeklies,NNS
we,PRP
weighing,VBG
wears,VBZ
weakness,NN
welcome,VB
weak,JJ
wells,NNP
weil,NNP
westborough,NNP
western,NNP
wealthy,JJ
went,VBD
well-known,JJ
we-japanese,JJ
wedtech,NNP
wertheim,NNP
weapon,NN
well,RB
wednesday,NNP
were,VBD
weigh,VB
weird,JJ
wear,VB
