term,tag
withstand,VB
winner,NN
willingness,NN
wilder,NNP
win,VB
within,IN
winding,VBG
wickliffe,NNP
wis.,NNP
withdrawn,VBN
witness,NN
winiarski,NNP
wilson,NNP
winter,NN
wick,NNP
wilton,NNP
wine-buying,JJ
wield,VB
winning,VBG
witnesses,NNS
window,NN
willing,JJ
widely,RB
wildly,RB
widgets,NNS
widespread,JJ
williams,NNP
widget,NN
wires,NNS
witches,NNS
wines,NNS
wine-making,NN
winners,NNS
wives,NNS
william,NNP
wilfred,NNP
wisdom,NN
with,IN
wings,NNS
wide,JJ
wins,VBZ
wilcox,NNP
wilbur,NNP
wife,NN
wish,NN
withdrew,VBD
wilmington,NNP
wizards,NNS
withhold,VB
will,MD
windfall,NN
without,IN
withdraw,VB
withdrawal,NN
wild,JJ
widow,NN
wine,NN
