term,tag
wohlstetter,NNP
woodward,NNP
worms,NNS
worrying,VBG
word-processing,NN
world-wide,JJ
worksheets,NNS
worship,NN
worry,NN
wonder,NN
wooing,VBG
working,JJ
would-be,JJ
wozniak,NNP
workers,NNS
wound,VBD
won,VBD
workable,JJ
worsening,NN
worth,JJ
woman,NN
worse,JJR
worthiness,NN
wo,MD
worker,NN
workforce,NN
woodrow,NNP
woolworth,NNP
worst,JJS
words,NNS
worthy,JJ
world,NN
worked,VBD
women,NNS
wood,NNP
word,NN
would,MD
worst-case,JJ
work,NN
worried,VBN
worsen,VB
woodcliff,NNP
wong,NNP
wolf,NNP
workplace,NN
worries,VBZ
works,NNS
workbooks,NNS
