term,tag
advertises,VBZ
advisory,NN
adorned,VBN
adios-rena,NP
adagios,NNS
adjustments,NNS
ad-lib,NN
advertorial,JJ
adjective,NN
advertiser,NN-TL
advertised,VBN
adamantly,QL
adrenal,JJ
adjustment,NN
advertisement,NN
administer,VB
adolescence,NN
admirably,RB
adding,VBG
adamant,JJ
ads,NNS
adios,FW-UH
advisers,NNS
admission,NN
advertisements,NNS
advancement,NN
adler,NP
add,VB
ade,NP
adoption,NN
adc,NN
ada,NP
ado,NN-TL
adequate,JJ
administrative,JJ
adventists',NPS$
advises,VBZ
adviser,NN
adrs,NNS
advisors,NNS
adjacent,JJ
adversaries,NNS
advances,NNS
adventurers,NNS
advocate,VBP
adolph,NNP
addicts,NNS
admitting,VBG
adheres,VBZ
advised,VBN
adhered,VBN
adventurous,JJ
advanced,VBN
administration's,NN$
adenauer,NP
adulthood,NN
admonished,VBD
adams,NNP
admittedly,RB
adjournment,NN
admitted,VBD
adelia,NP
admissible,JJ
adlai,NP
adjust,VB
adherence,NN
adamo,NP
adapters,NNS
adulterous,JJ
adobe,NN
administratively,RB
advent,NN
admonition,NN
advocated,VBD
adulation,NN
adieu,FW-UH
adair's,NP$
advertisers,NNS
advertise,VB
adorns,VBZ
adequately,RB
adjuncts,NNS
adams's,NP$
adds,VBZ
advantageous,JJ
addicted,VBN
adhere,VB
adhesion,NN
adame,NP
adapt,VB
adventuring,VBG
adjudged,VBN
adjudging,VBG
admixed,VBN
adorable,JJ
adversity,NN
adhesives,NNS
adhesive,JJ
admirers,NNS
admits,VBZ
adept,JJ
addabbo,NP-HL
advisability,NN
advantages,NNS
admirals,NNS
adolescent's,NN$
address,NN
adjoined,VBD
adulterers,NNS
adversary,NN
adolf,NP-TL
adapting,VBG
advance,NN
adverb,NN
adores,VBZ
adage,NN
adapter,NN
adjusts,VBZ
adventures,NNS
adored,VBD
admit,VB
adolphus,NP
advertising,NN
adrian,NP
adopting,VBG
adorn,VB
adapted,VBD
adulterated,VBN
additives,NNS
addict,NN-HL
adams',NP$
adjusted,VBN
adjustable,JJ
addresses,NNS
adroitness,NN
adroit,JJ
advisor,NN
adios-on,NP
adjudication,NN
adduce,VB
addressed,VBD
adsorbs,VBZ
adjoining,VBG
adaptation,NN
adverbs,NNS
add-on,JJ
advantageously,RB
additions,NNS
adios-direct,NP
adventitious,JJ
adults,NNS
adipic,JJ
additive,NN
additional,JJ
adolescent,NN
addition,NN
adjoins,VBZ
adopted,VBD
adequacy,NN
adios-trustful,NP
administrations,NNS
administering,VBG
adenomas,NNS
adopts,VBZ
addison,NP
adverbial,JJ
adrar,NP
adjourned,VBD
adagio,NN-TL
adjusting,VBG
admassy's,NP$
adonis,NP
adrianople,NP
administrators,NNS
adaptable,JJ
advisement,NN
adult,NN
adelos,NP
adnan,NP
aderholds,NPS
admassy,NP
admonishments,NNS
admiration,NN
advocating,VBG
adaptations,NNS
adair,NP
addle-brained,JJ
admonitions,NNS
adenauer's,NP$
advocacy,NN
admire,VB
adore,VB
advertising-conscious,JJ
advisable,JJ
admiralty,NN
advising,VBG
admired,VBD
addressing,VBG
ad,NN
ada's,NP$
adminstration,NN
adoniram,NP
adaptaplex,NP-TL
advancements,NNS
adherent,JJ
adele,NP
adolescents,NNS
adultery,NN
admirer,NN
adversely,RB
advancing,VBG
adcock,NP
adrift,RB
advantage,NN
adjourns,VBZ
administered,VBN
administration,NN
adjectives,NNS
admittance,NN
adjunct,NN
adverse,JJ
administers,VBZ
addressees,NNS
advise,VBP
adjourning,VBG
administrator,NN
added,VBD
adamson,NP
advice,NNP
adriatic,NP
adirondack,NP
adventure,NN
additionally,RB
advisedly,RB
adherents,NNS
admissions,NNS-TL
adrien,NP
adirondacks,NPS
adjudicate,VB
admires,VBZ
adam's,NP$
adsorbed,VBN
adopt,VB
admiring,VBG
adjectival,JJ
advocates,NNS
admonishing,VBG
adam,NNP
admiringly,RB
addiction,NN
adventists,NPS
admirable,JJ
