term,tag
affair,NN
affix,VB
affectingly,RB
afro-cuban,JJ
affirms,VBZ
afflicted,VBN
affiliations,NNS
affinity,NN
african,NNP
afternoon's,NN$
affected,VBN
aficionado,NN
aforementioned,JJ
affect,VBP
affections,NNS
afire,JJ
affianced,VBN
affluent,JJ
affiliate,NN
after-hours,JJ
aftermath,NN
afrique,FW-NP-TL
afforded,VBD
afferent,JJ
affiliation,NN
affectation,NN
affable,JJ
affied,VBD
afghans,NPS
affects,VBZ
afloat,RB
afro-asian,JJ
affecting,VBG
aflame,JJ
affirming,VBG
affordable,JJ
afl-cio,NN
affiliates,NNS
aforesaid,JJ
affidavits,NNS
affectionately,RB
affiliated,VBN
affording,VBG
afterward,RB
af-inch,NN
afranio,NP
afternoon,NN
afar,RN
afterwards,RB
after-effects,NNS
africa,NNP
aforethought,RB
affliction,NN
afield,RB
afoot,RB
affords,VBZ
after-duty,JJ
afrika,FW-NP-TL
affluence,NN
af-fold,NN
affectionate,JJ
aftuh,CS
afford,VB
affixed,VBN
af-stage,NN
after-school,JJ
affronted,VBN
affront,NN
affirm,VB
affaires,FW-NNS-TL
after-tax,JJ
aftereffects,NNS
affection,NN
af,NN
afternoons,NNS
affirmative,JJ
affinities,NNS
afflictions,NNS
affairs,NNS
afraid,JJ
africans,NPS
af-values,NNS
affaire,NP
aft,RB
after,IN
affirmation,NN
affirmatively,RB
afghan,NN
afresh,RB
affronting,VBG
affirmations,NNS
affirmed,VBD
