term,tag
aided,VBN
aiken,NP-TL
airstrip,NN
air-drifts,NNS
ai,VBP
aikin,NP
airdrops,NNS
ailment,NN
air-conditioning,NN
airmen,NNS
aide,NN
aiding,VBG
airframe,NN
aimed,VBN
aides,NNS
ailing,VBG
aids,NNS
airplane,NN
aid-to-education,NN
airmail,NN
airman's,NN$
airfield,NN
ailey,NP
air-to-surface,JJ
aimlessly,RB
aide-de-camp,FW-NN
ailey's,NP$
airlines,NNPS
airborne,JJ
ailes,NNP
air-conditioned,JJ
aiee,NN
airs,NNS
airy,JJ
airedale,NP-TL
aiche,NN
airily,RB
ainsley,NP
airspeed,NN
aircraft's,NN$-TL
air-frame,NN
ainu,NP
airways,NNPS
airlift,NN
aisles,NNS
airplanes,NNS
aimo,NN
airstrips,NNS
aircraft,NN
airpark,NP
ain't,BEZ*
ailerons,NNS
airless,JJ
ainus,NPS
aiming,VBG
airline-related,JJ
airlock,NN
air-cell,NN
aired,VBD
aisle,NN
aimless,JJ
airports,NNS
airflow,NN
airfields,NNS
airline's,NN$-TL
aid's,NN
aims,VBZ
air,NNP
aim,NN
airport,NN
airline,NN
ainsworth,NP
aid,NN
aida,NP
aia,NN
ailments,NNS
