term,tag
ansley,NP
anglican,JJ
angriest,JJT
andrena,NN
andre,NP
antagonize,VB
anglo-jewish,JJ
androfski,NP
antoinette,NP
anglia,NNP
anticipation,NN
anti-semitic,JJ
anti-communism,NN
answered,VBN
anti-communist,JJ
analogous,JJ
anti-colmer,JJ
ankara,NP-HL
anonymous,JJ
anthony's,NP$
anemic,JJ
anemia,NN
antagonised,VBN
anne's,NP$
anarchical,JJ
anesthetics,NNS
anisotropy,NN
anxious,JJ
antithyroid,JJ
anesthetic,NN
ancistrodon,NP
antibiotic,NN
anti-abortionists,NNS
antigen,NN
angeles',NP$
anaconda,NN
anton,NP
anthea,NP
anthem,NN-TL
analogously,RB
annals,NNS
anglo-saxon,JJ
animized,VBN
angelina,NP
anglicans,NPS
anchoritism,NN
answers,NNS
anthropology,NN-TL
andrews,NP
anchoring,VBG
anti-human,JJ
animated,VBN
anybody'd,PN+MD
anthropologists,NNS
anybody's,PN$
analysts,NNS
antecedents,NNS
anarchist,NN
aniline,NN
anti-christian,JJ
anti-assignment,JJ
angrily,RB
anticus,FW-JJ
analyzing,VBG
anomalies,NNS
anti-negro,JJ
anniston,NP
analyses,NNS-HL
angelo,NNP
angell,NP
anticoagulation,NN
angry,JJ
angier,NNP
anatomical,NN
anti-semites,NNS
annisberg,NP
andy,NNP
angels,NNPS
antennae,NNS
antibiotics,NNS
antennas,NNS
antigone,NP
annoy,VB
animals,NNS
announcing,VBG
anxieties,NNS
anywhere,RB
andrus,NP
anthropological,JJ
antagonists,NNS
antislavery,JJ
anteater,NN
anglo-saxons,NPS
angleterre,FW-NP
andersen,NP
antoine,NP
anselm's,NP$-TL
answer,NN
ancestor,NN
anhalt-bernburg,NP-TL
angelo's,NP$
anti-organization,JJ
anti-clericalism,NN
anaconda's,NN$
antiquarian,JJ
anyways,RB
antinori,NNP
anytime,RB
anania,NP
anti-miscarriage,JJ
anionic,JJ
anachronism,NN
antelope,NN
anachronistically,RB
antifundamentalist,NN
ancients,NNS
anchorite,NP
antoine's,NP$
anticipations,NNS
antipathy,NN
analeptic,JJ
animism,NN
animal,NN
animate,JJ
anticipated,VBN
anson,NP
anticipates,VBZ
announcers,NNS
antagonisms,NNS
anion,NN
anti-morning-sickness,JJ
ankles,NNS
angola,NNP
analytrol,NP
another's,DT$
andy's,NP$
anxiety-released,JJ
anarchy,NN
announcer,NN
announces,VBZ
anesthetically,RB
anouilh,NP
anti-soviet,JJ
announced,VBN
antiphonal,JJ
anti-recession,JJ
antisera,NNS
anti-programmers,NNS
ancestry,NN
anyhow,RB
annunciated,VBN
anselmo,NP
anthropomorphic,JJ
ankle-deep,JJ
anti-monopoly,JJ
anti-a,JJ
anti-b,JJ
anecdote,NN
anita,NP
anti-slavery,JJ
angelic,JJ
anaplasmosis,NN
anglicanism,NP
anti-democratic,JJ
antiquity,NN-TL
another,DT
anonymity,NN
angular,JJ
ancient,NNP
antiques,NNS
anyone,NN
andrei's,NP$
ankle,NN
anesthetized,VBN
anabaptist,NP
antic,JJ
anachronisms,NNS
