term,tag
arousing,VBG
arbitrarily,RB
arvey,NP
archimedes,NP
archaized,VBD
armond,NP
armour,NP
armament,NN
artfully,RB
aroma,NN
aromatick,JJ
arrests,NNS
arsenide,NN
arrears,NNS
arabesque,NN
arrowed,JJ
argued,VBD
armpit,NN
arbeitskommando,NP-TL
aryl,NN
arrogant,JJ
arrack,NN
archdiocese,NN
archfool,NN
area-wide,JJ
arboreal,JJ
ardmore,NP
artkino,NP
arid,JJ
arrogance,NN
arresting,VBG
arrest,VB
aristocratic,JJ
arabian,NNP
artisan,NN
archangels,NNS
arnolphe,NP
argentina,NNP
arrange,VB
arlen's,NP$
arrowheads,NNS
arclike,JJ
arenula,NP
arrayed,VBN
around,IN
articulation,NN
arouses,VBZ
ardor,NN
arthur's,NP+BEZ
arequipa,NP
arab,NP
arbitraging,VBG
aromas,NNS
arriving,VBG
artery,NN
argues,VBZ
arteriosclerosis,NN
areas,NNS
architects',NNS$
articles,NNPS
articulated,VBN
arnold-foster,NP
arnold's,NP$
artist,NNP
armbro,NP-TL
arrested,VBN
aridity,NN
arrivals,NNS
artifice,NN
arlene,NP
arthur,NNP
architecture,NN
arrow,NN
arbitrary,JJ
archaeological,JJ
arianists,NPS
argon,NN
art-filled,JJ
arp,NP
artfulness,NN
art,NN
artificiality,NN
arigato,FW-UH
artistically,RB
arrows,NNS
artur,NP
arithmetized,VBN
arte's,FW-NN$-TL
arouse,VB
arrangers,NNS
are,VBP
arf,NP
ardent,NP
arhats,NPS
armageddon,NP
argiento,NP
aroused,VBN
arm,NN
arbitrager,NN
art's,NP$
arhat,NP
arabian-american,JJ-TL
arch-enemy,NN
armor,NN
arms-making,NN
arbogast,NP
artificial,JJ
arteries,NNS
arraigned,VBD
armaments,NNS
arkansas,NP
arch-heretic,NN
artist's,NN$
ark,NNP
arger,NP
artist-nature,NN
architectonic,JJ
arrival,NN
arbitrated,VBN
arizona,NNP
armisteads,NPS
arpeggios,NNS
arkansas',NP$
arimathea,NP-TL
archangel,NN-TL
arata,NP
aristocrats,NNS
armentieres,NP-TL
arrington,NP
artie,NP
armenian,JJ
architectural,JJ
arithmetical,JJ
article,NN
aren't,BER*
arthritis,NN
arena,NN
articulations,NNS
arianist,NP
area,NN
armory's,NN$
arragon,NP-TL
arapacis,NP
artifacts,NNS
arable,JJ
archbishop,NN
arbiter,NN
argue,VBP
arteriolosclerosis,NN
arside,NN
architectures,NNS
arterial,JJ
artistry,NN
arcaded,JJ
aristotle's,NP$
ariail,NNP
aristide,NP
archuleta,NP
armchair,NN
arraignments,NNS
arsenal,NN
articulate,JJ
armada's,NN$-TL
armoire,NN
arleigh,NP
arcades,NNS
artery's,NN$
artists,NNS
aricaras,NPS
arbitrage,NN
array,NN
armed,VBN
artists',NNS$
arbitration,NN
argumentation,NN
arts,NNS
areaways,NNS
arcade,NN
army,NNP
arty,JJ
arlington,NNP
arch-opponent,NN
arms,NNS
architect's,NN$
armload,NN
arte,FW-NN-TL
archives,NNS-TL
armory,NN-TL
armchairs,NNS
arsenic,NN
army's,NN$-TL
aristocracy,NN
armistice,NN
artless,JJ
artillerist,NN
arbitrage-related,JJ
arises,VBZ
arrogantly,RB
argot,NN
aristotelean-thomistic,JJ
argos,NP
archaic,JJ
arundel,NP-TL
arighi,NNP
arranging,VBG
arbs,NNS
arsines,NNS
arisen,VBN
arranged,VBD
arched,JJ
artificer,NN
armpits,NNS
arterioles,NNS
archaism,NN
arnica,NN
artisans,FW-NNS-TL
arnold,NNP
arroyo,NN
arabs',NPS$
arches,NNS
arc,FW-NN-TL
architect,NN
argentine,JJ
armhole,NN
aristocratically,RB
arching,VBG
arrive,VB
archenemy,NN
araby,NP
arafat,NNP
arlen,NP
aransas,NP
armored,VBN
armstrong,NP
aristotelian,JJ
arm-levitation,NN
arshinkoff,NP
arabs,NPS
artillery,NN
argument,NN
arbuckle's,NP$
archipelago,NN
arabia,NNP
arm's,NN$
arrangements,NNS
armide,NP
artful,JJ
aristotle,NP
arise,VBP
arousal,NN
arenas,NNS
arbitragers,NNS
arabic,JJ
arbuckle,NP
arraigning,VBG
arbor,NP
arrowhead,NN-TL
archbishops',NNS$-TL
arak,NN
arteriolar-pulmonary,JJ
art-historian,NN
argonauts,NPS
arcilla,NP
aromatic,JJ
arrangement,NN
arm-rise,NN
artery-pulmonary,JJ
arguments,NNS
ariz.,NNP
arylesterase,NN
arianism,NP
areosol,NN
arithmetic,NN
artistic,JJ
ares,NP
armies,NNS
artist-author,NN
arrives,VBZ
arteriolar,JJ
arcs,NNS
arguing,VBG
archeological,JJ
arctic,JJ
arden,NP-TL
art-shop,NN
architects,NNS
armata,NP
arylesterases,NNS
arrived,VBD
arose,VBD
arturo,NP
arcus,NN
arco,NP
arch,NN-TL
ariadne,NP
area's,NN$
archery,NN
arson,NN
arabians,NPS
archtype,NN
armful,NN
arduous,JJ
arbitrate,VB
artemis,NP-TL
arlene's,NP+BEZ
arm-elevation,NN
archaeologists,NNS
artificially,RB
arrogate,VB
argive,JJ
armadillo,NN
arkabutla,NP-TL
arranges,VBZ
arising,VBG
archaeology,NN
