term,tag
assiniboia,NP
assembling,VBG
asphalt,NN
astronomical,JJ
aspires,VBZ
assigned,VBN
assignee,NN
aspired,VBD
asian,JJ
aspect,NN
assailants,NNS
asdic,NN
asylum,NN-TL
assembled,VBN
assaying,VBG
ashmolean,JJ-TL
astarte,NP
asthma,NN
assiduity,NN
assaulting,VBG
assassination,NN
aschenbach,NP
assertion,NN
asteria,NP
astonishment,NN
association's,NN$
astronaut,NN-TL
astwood,NP
associations,NNS
ashman,NP
aspects,NNS
asians,NNPS
asw,NN
asbestos,NN
assistant,JJ
astringent,JJ
assam,NP
aspersions,NNS
assai,FW-RB-TL
asteroidal,JJ
assesment,NN
aspirations,NNS
ascended,VBD
association,NNP
assimilate,VB
assemblies,NNS
aslacton,NNP
ashen,JJ
askington,NP
asher,NNP
assignments,NNS
assembly-line,NN
ascertain,VB
assemblage,NN
aseptic,JJ
asbestos-related,JJ
ascend,VB
assyriology,NP
asteroid,NN
assessor's,NN$
astronomer,NN
asleep,RB
aspencade,NP
assembly,NN
aspr,NN
ascent,NN
assessors,NNS
ash-can,NN-TL
ashes,NNS
astounded,VBN
assistance,NN
asia,NNP
asynchrony,NN
asking,VBG
assuming,VBG
assistants,NNS
astral,JJ
assurance,NN
astray,RB
ass,NN
asiatic,JJ
assaults,NNS
assured,VBD
associate,NN
assertive,JJ
ascribed,VBN
ascending,VBG
assures,VBZ
asymmetry,NN
assists,NNS
asinine,JJ
ask,VBP
assemblages,NNS
ascribes,VBZ
ash,NN
asilomar,NP-HL
asserting,VBG
aspirants,NNS
asset-valuation,NN
askew,RB
astringency,NN
assure,VB
askin',VBG
asceticism,NN
aspire,VB
assassin,NN
asked,VBD
astute,JJ
asser,NP
asbestos-cement,NN
asymptotically,RB
asham'd,JJ
astronomically,QL
assess,VB
assemble,VB
assertions,NNS
asserted,VBD
astor,NP
asymptotic,JJ
asks,VBZ
assumed,VBD
astuteness,NN
asses,NNS
assuring,VBG
assumption,NN
astin,NP
asset,NN
asimov's,NP$
astrophysics,NN-HL
assassinated,VBD
assessment,NN
assessor,NN
assumes,VBZ
aspirin,NN
asymmetrically,RB
assailed,VBN
asterisks,NNS
assorted,VBN
asymmetric,JJ
aspencades,NPS
ascribe,VBP
assimilation,NN
ashikaga,NP
assert,VB
asheville,NP
assassins,NNS
asbestosis,NN
asch,NP
ashamed,JJ
astonished,VBD
assail,VB
assessments,NNS
ashtrays,NNS
assigning,VBG
assented,VBN
astra,NP
asunder,RB
ass'n,NN-TL
assaulted,VBN
asada,NNP
aspiration,NN
assumptions,NNS
ascertainable,JJ
ass'ns',NNS$-TL
aspirant,NN
ascendancy,NN
ascendency,NN
ascetic,NN
associated,VBN
assent,NN
astound,VB
associatively,RB
as,IN
associates,NNPS
associating,VBG
asset-sale,JJ
askington's,NP$
assay,NN
assertiveness,NN
assurances,NNS
assimilated,VBN
as-it-were,RB
assuredly,RB
astonishingly,RB
asme,NN
astaires,NPS
assuaged,VBN
aside,RB
aspis,FW-NN-NC
assyrian,JJ
astride,IN
ashore,RB
assailing,VBG
assiniboine,NP
assonance,NN
aspen,NN
assigns,VBZ
aspiring,VBG
assignment,NN
assist,VB
astounding,JJ
assayed,VBN
assault,NN
assessing,VBG
ash-blonde,JJ
assessed,VBN
assortment,NN
astronomy,NN
assn.,NN-TL
assisting,VBG
asocial,JJ
ashley,NP
assets,NNS
assume,VB
askance,RB
assessors',NNS$
asters,NNS
assign,VB
astonishing,JJ
ascertained,VBN
assailant,NN
asserts,VBZ
asparagus,NN
assisted,VBN
