term,tag
atmosphere,NN
attractively,RB
athletic,JJ
atom,NN
attempts,VBZ
atomic,JJ
atlanta's,NP$
ath.,NP
atlantes,FW-NPS
attraction,NN
attractive,JJ
attopeu,NP
attained,VBN
atavistic,JJ
attacker's,NN$
atheistic,JJ
attwood,NNP
attorney-client,JJ
atrophy,NN
atmospheres,NNS
atonally,RB
attorneys,NNS
attitude,NN
atsushi,NNP
att,IN
athletics,NN
athalie,NP-TL
atheists,NNS
attracting,VBG
attica,NP
attest,VB
attorney,NNP
attachments,NNS
attic,NN
attorney's,NN$
atty.,NN-TL
attis,FW-NN
athlete's,NN$
attributable,JJ
attend,VB
attempting,VBG
attracted,VBN
attitudes,NNS
attire,NN
aterman,NP
attentively,RB
attentions,NNS
attended,VBD
atrophic,JJ
attention,NN
atom-like,JJ
atoms,NNS
attending,VBG
at&t,NNP
attendant,NN
attakapas,NP
ate,VBD
attainment,NN
attacks,NNS
atm,NN
attributed,VBD
athletes',NNS$
atp,NN
attributes,VBZ
athabascan,NP
attractions,NNS
attains,VBZ
atrociously,QL
attrition,NN
attired,VBN
attendance,NN
atkinson,NP
attainments,NNS
athens,NP
atom's,NN$
attaching,VBG
attach,VB
attack,NN
attends,VBZ
atlee,NP
athena,NP
attendants,NNS
atlantis,NP
attacked,VBD
attempted,VBD
atop,RB
attacker,NN
atlantic,NNP
atlas,NP
atlanta,NNP
attentive,JJ
atrocities,NNS
attesting,VBG
attu,NP
atmospheric,JJ
attilio,NP
athlete,NN
attlee,NP
attached,VBN
atomisation,NN
attuned,VBN
atta,UH
attaches,VBZ
atlantica,NP
atrophied,VBN
athleticism,NN
at,IN
attackers,NNS
attribute,NN
atone,VB
athenians,NPS
attain,VB
atlanta-based,JJ
attract,VB
at-bats,NNS
athearn,NP-TL
atreus,NP
atwells,NP-TL
attributing,VBG
attachment,NN
attactive,JJ
atheromatous,JJ
atune,JJ
attempt,VB
atonement,NN
attested,VBD
attracts,VBZ
atypical,JJ
athenian,JJ
attaining,VBG
athletes,NNS
attacking,VBG
