term,tag
augurs,VBZ
auspiciously,RB
augustine,NP
authors,NNS
auburn,JJ
autumnal,JJ
autobiographic,JJ
austrian,JJ
authorizations,NNS
auf,FW-IN-TL
authentication,NN
aux,FW-IN+AT-TL
australia,NNP
augustin,NP
authentications,NNS
auto,NN
aurora,NNP
australites,NNS
automobiles,NNS
authorship,NN
austerity,NN
autonavigator,NN
augustan,JJ
austin's,NP$
audibly,RB
autistic,JJ
autos,NNS
augusta's,NP$
auctioneer's,NN$
autocoder,NP
autocracies,NNS
audience,NN
author's,NN$
automatic,JJ
audited,VBN
auditorium,NN
auto-loaders,NNS
autocollimator,NN
authority,NN
autobiographical,JJ
authenticity,NN
autonomic,JJ
audits,NNS-TL
aubr.,NP-TL
auspices,NNS
authenticate,VB
authority's,NN$-TL
augmenting,VBG
auto-europe,NP-TL
autumn-touched,JJ
authorizing,VBG
aurelius,NP
autocrats,NNS
augustine's,NP$
auto-safety,JJ
auction,NN
autopsy,VB
auberge,FW-NN-TL
audible,JJ
audacity,NN
aura,NN
auctions,NNS
audubon,NP-TL
autions,NNS
automaton,NN
austin,NNP
auto-limitation,NN
automatically,RB
auctioned,VBN
authorize,VB
auntie,NP
auschwitz,NP
aubrey's,NP$
augustus,NP
austria,NNP
autosuggestibility,NN
audivi,FW-VBD
auditing,VBG
authorizes,VBZ
automobile,NN
authorized,VBD
automate,VB
australian,NNP
authorization,NN
austerely,RB
automotive-lighting,JJ
aurally,RB
authenticator,NN
automated,VBN
auditors,NNS
authentically,RB
autumn,NN
augment,VB
augusta,NP
auditioning,VBG
aural,JJ
audio-visual,JJ
august,NNP
aug.,NNP
autoloader,NN
audiocassettes,NNS
auxiliaries,NNS-TL
audrey,NP
audiences,NNS
authoritatively,RB
autism,NN
aujourd'hui,FW-NR
autobiography,NN
autonomy,NN
authenticated,VBN
aunts,NNS
author,NN
authoritative,JJ
auctioneer,NN
auditions,NNS
aureomycin,NP
augen,FW-NNS
automotive,JJ
automotive-parts,JJ
autocratic,JJ
authoritarian,JJ
autopsied,VBN
automation,NN
aunt's,NN$
audition,NN
authoritarianism,NN
authorities,NNS
autonomic-somatic,JJ
authentic,JJ
autograph,NN
authors',NNS$
audit,NN
auerbach's,NP$
austere,JJ
auxiliary,JJ
auspicious,JJ
autofluorescence,NN
aunt,NN-TL
auditor,NN
audio,JJ
augmented,VBN
