term,tag
averaging,VBG
availing,VBG
availabilities,NNS
avidity,NN
avalanche,NN
avoided,VBD
avenue,NNP
availability,NN
avc,NP
aviv,NP
avid,JJ
avrett,NNP
avidly,RB
avec,FW-IN-TL
avoid,VB
avocado,NN-TL
avaricious,JJ
aviary,NN
aviator,NN
avail,VB
avowed,VBN
avis,NP
averell,NP
avoids,VBZ
avenues,NNS
avoidance,NN
available,JJ
avarice,NN
avert,VB
avery,NP
averted,VBN
availed,VBD
averting,VBG
av.,NN-TL
avant-garde,NN
aventino,NP
aviation,NN-TL
avon,NNP
avocation,NN
avocados,NNS
aventine,NP-TL
avenging,VBG
ave.,NN-TL
avoiding,VBG
average,NN
averaged,VBD
avant,FW-JJ
avenge,VB
avaliable,JJ
aviators,NNS
aversion,NN
averages,NNS
