term,tag
circularity,NN
cincinnati,NNP
cinch,NN
ciao,FW-UH
cibula's,NP$
citrated,JJ
civilized,VBN
cimoli,NP
circling,VBG
circumscribed,VBN
city-owned,JJ
circumpolar,JJ
citron,NN
cimabue's,NP$
citing,VBG
circumspectly,RB
citizen,NNP
circumcision,NN
circle,NN
cipriani's,NP$
cieca,FW-NN-TL
cinemactor,NP
civilian,NN
citrus,NN
circumlocution,NN
cia,NNP
cinq,FW-CD
citizen-sparked,JJ
ciardi,NP
cicero,NP
cider,NN
ciudad,NP
circuitry,NN
cipolla,NP
civilizing,VBG
circumscribing,VBG
cicadas,NNS
cigars,NNS
ciceronian,JJ
circumspection,NN
cilia,NNS
circumscriptions,NNS
circulating,VBG
civilization,NN
ciliated,JJ
city-trading,NN
circumstance,NN
cinders,NNS
ciphers,NNS
city-bred,JJ
citicorp,NNP
circonscription,FW-NN
civilians,NNS
cities,NNS
ciliates,NNS
circumference,NN
city-dweller,NN
citizens,NNS
city-wide,JJ
circuit,NN
cinder,NN
cir.,NN-TL
cinerama,NP
civic,JJ-TL
civil,NNP
circuit-board,NN
cigaret,NN
city,NNP
circonscriptions,FW-NNS
citations,NNS
cito,FW-RB
citywide,JJ
circuitous,JJ
circa,RB
cite,VB
circulate,VB
circus,NN-TL
citizens',NNS$-TL
cicognani,NP
circulated,VBD
circuit-breaker,NN
citizenry,NN
circumstances,NNS
citybred,JJ
circulation,NN
citibank,NNP
circuits,NNS
civility,NN
circumspect,JJ
citadel,NNP
civilizations,NNS
citizenship,NN
cinema,NN
cited,VBN
citation,NN
cistern,NN
cicero's,NP$
cites,VBZ
citizen's,NN$
circulatory,JJ
cimabue,NP
civilizational,JJ
circular,JJ
circles,NNS
cityscapes,NNS
cigar,NN
cinematic,JJ
cigarette,NN
cipher,VB
circled,VBD
civilian-groups,NP
cinches,NNS
civil-rights,NNS
city's,NN$
cigarettes,NNS
civics,NNS
cigna,NNP
ciciulla,NP
citroen,NP-TL
circulations,NNP
