term,tag
consolidated,NNP
comparatively,QL
coopers,NPS
controversial,JJ
consists,VBZ
comically,RB
conjure,VB
codification,NN
cobb's,NP$
comet's-tail,NN
conjecture,NN
collaborate,VB
corneilus,NP
co-operation,NN
compassion,NN
connects,VBZ
compacts,NNS
condliffe,NP
confederate,JJ-TL
courageous,JJ
convexity,NN
conceive,VB
companies,NNS
commons,NNS-TL
correct,VB
convenience,NN
commute,VB
correlatively,RB
commented,VBD
concise,JJ
construed,VBN
cow-man,NN
consistent,JJ
contretemps,NN
corded,VBN
consenting,VBG
colonialism,NN
concetta,NP
complexities,NNS
cosmologists,NNS
cooking,VBG
contributed,VBD
consequent,JJ
communism's,NN$-TL
conduct,VBP
colonialist,NN
contributes,VBZ
consisting,VBG
counters,NNS
coefficient,NN
conglomerate,NN
contentions,NNS
contraction,NN
conversational,JJ
connoisseur,NN
controversy,NN
cozier,JJR
cotton's,NP$
courier-journal,NP-TL
combellack,NP
cohn,NP
constrictions,NNS
contrarily,RB
county,NNP
cost-control,JJ
compulsively,RB
counts,NNS
cocaine,NN
college-educated,JJ
cough,NN
coins,NNS
conquer,VB
coons,NP
composite,JJ
committeewoman,NN
connecticut,NNP
correspondingly,RB
corporis,FW-NN$
continual,JJ
counterflow,JJ
communist-led,JJ
containment,NN
coulda,MD+HV
consderations,NNS
cockier,JJR
conic,NN
county's,NN$
corsia,NP
counseling,NN
complaining,VBG
cotten's,NP$
colds,NNS
copious,JJ
comedians,NNS
computer-driven,JJ
committeeman,NP
colde,MD
convulsively,RB
construe,VB
command's,NP$
commencing,VBG
coined,VBD
conrad's,NP$
confirmed,VBN
congregational-baptist,JJ
constants,NNS-HL
complacent,JJ
connolly's,NP$
coursing,VBG
complexity,NN
counseled,VBD
correlation,NN
communistic,JJ
cosponsors,VBZ
cofactors,NNS
constatation,NN
cornwallis,NP
consent,NN
concurrence,NN
co-operating,VBG
coiling,VBG
counter-drill,VB
conned,VBN
cost-data,NN
contingent-fee,NN
comico-romantico,JJ
compelling,JJ
corinthians,NPS
county-wide,JJ
confidently,RB
coffee,NN
corridor,NN
combination,NN
coconut-containing,JJ
commemorate,VB
coal-like,JJ
coeditors,NNS
confronting,VBG
cornbread,NN
consolidate,VB
corpsman,NN
concord,NP
councils,NNS
compassionately,RB
convict's,NN$
contracting,VBG
combining,VBG
confucianism,NP
collector,NNP
comedies,NNS
conjectures,NNS
couple's,NN$
counselors,NNS
content,JJ
copolymers,NNS
conjectured,VBN
colorless,JJ
commercially,RB
copycats,NNS
condicions,NNS
collation,NN
cornerstone,NN
competes,VBZ
cosmic,JJ
conceding,VBG
construing,VBG
competed,VBN
corrections,NNS
cooperating,VBG
cook's,NN$
coding,VBG
comforted,VBN
comin,VBG
comic,JJ
cossack,NP
concussion,NN
contralto,NN
coccidioidomycosis,NN
confirming,VBG
compromise,NN
corpus,NN
consented,VBD
collapse,NN
counter-offensive,NN
conspicuously,RB
compressor,NN
corresponded,VBD
cogently,RB
congratulatory,JJ
conforms,VBZ
coward,NP
cowbird,NN
covent,NP-TL
constitutional-law,NN
company's,NN+BEZ
