term,tag
cute,JJ
currants,NNS
current-carrying,JJ
customary,JJ
cutoff,NN
culbertson,NP
cuts,NNS
cupboards,NNS
curled,VBD
culmination,NN
cut,VBD
cumberland,NP
curly,JJ
cup,NN
curricular,JJ
curls,NNS
cut-glass,NN
cue,NN
cud,NN
curds,NNS
cullowhee,NNP
curdling,VBG
curettage,NN
cutter,NN
cusp,NN
customers,NNS
cube,NN
curtis,NP
cuba,NP-TL
custodian,NN
custodial,JJ
cursing,VBG
cultural,JJ
cutting,VBG
cubs,NPS
cushion,NN
curie-weiss,NP
culprits,NNS
curtin,NP
cumulate,VB
cunningly,RB
cunningham,NP
customhouse,NN-TL
curator,NN
culminating,VBG
cunningham's,NP$
cu.,JJ
cufflinks,NNS
curriculums,NNS
curbside,NN
curtly,RB
cutrer,NNP
culmone,NP-HL
curtness,NN
cudmore,NP
culpas,FW-NNS
cumin,NN
culture,NN-TL
cup-tote,NNP
currant,NN
curious,JJ
culver,NP
cutters,NNS
curse,NN
cues,NNS
cutest,JJT
culprit,NN
currently,RB
cub's,NN$
current,JJ
cupped,VBD
cu,NN
cubbyhole,NN
cunard's,NP$
cultist,NN
curtseyed,VBD
customarily,RB
curbs,NNS
cupboard,NN
curzon,NP
curl,VB
cushioning,VBG
cumara,NN
cutting-edge,NN
cupply,NP
cult,NN
curtailed,VBD
cur,NN
cubes,NNS
cured,VBN
cuffs,NNS
curzon's,NP$
cupful,NN
culminate,VB
cures,NNS
cubed,VBN
curative,JJ
curry,NNP
cultivates,VBZ
cuba's,NP$
cubans,NPS
customer's,NN$
cuckoo-bumblebee,NN
curling,VBG
curses,NNS
culture-protestantism,NP
cursed,VBN
cuirassiers,NNS
culture's,NN$
cultivated,VBN
cups,NNS
custody,NN
curtiss,NP
cultured,VBN
custom,NN
cumbancheros,NPS
cultivation,NN
cultures,NNS
curtail,VB
cunard,NP
cutouts,NNS
curtains,NNS
cushions,NNS
cumhuriyet,NP
curriculum,NN
cuban-american,NP
cults,NNS
curvature,NN
curbing,VBG
cutlets,NNS
curiously,RB
custer's,NP$
curtain,NN
currys,NPS
cunning,JJ
customer,NN
cut-and-dried,JJ
cure-all,NN
cut-down,JJ
cutlass,NN
custom-design,NN
cubists,NNS
cuff,NN
curricula,NNS
cutbacks,NNS
cuddleback,NP-TL
cubist,NN
cuttings,NNS
customers',NNS$
curves,NNS
cury,NP
currency,NN
curd,NN
cure,VB
curb,VB
curved,VBD
cultivate,VB
cushioned,VBN
cursory,JJ
cumbersome,JJ
currents,NNS
cuisine,FW-NN
curving,VBG
cuvees,NNS
cut-to-a-familiar-pattern,JJ
curt's,NP$
cumulative,JJ
cutback,NN
cue-phrase,NN
curtained,JJ
cumulus,NN
curiae,FW-NN$
cutthroat,JJ
cuk**ya,NN
curia,NP
culminated,VBD
currencies,NNS
cushman,NP
custer,NP
cubic,JJ
cudkowicz,NP
customs,NNS
custom-chip,JJ
culminates,VBZ
curiosity,NN
culvers,NPS
cut-off,NN
curing,VBG
curbed,VBN
curio,NN
cusa,NP-TL
cuban,JJ
custom-make,VB
cutters',NNS$
curvaceously,RB
curve,NN
customized,VBN
curtain-raiser,NN
cudgels,NNS
curie,NP
culte,FW-NN
cultivating,VBG
cubism,NP
customer-cost,NN
curt,NP
culturally,RB
