term,tag
dawning,VBG
dashes,NNS
dance,NN
dancers,NNS
damsel,NN
damed,VBN
datum,NN
daniel's,NP$
danforth,NNP
davis',NP$
day-to-day,JJ
dalton,NP
darkest,JJT
davao,NP
dais,NN
darkly,RB
dampening,VBG
dauntless,JJ
daydreaming,NN
darted,VBD
dallas-based,JJ
daley,NP
damascus,NP
dalles,NP-TL
dairy,NN
dartmouth,NP
dales,NNS
darwin,NP
daintily,RB
daises,NNS
dad,NN-TL
dandy,NP
dag,NP
day-by-day,JJ
dam,NN
dan,NNP
da,NP
dark,JJ
dark-gray,JJ
darn,VB
dance-theatre,NN
dannehower,NP
damnit,UH
dapper,JJ
day,NN
dare,VB
dampen,VB
dairy-oh,UH
daughter's,NN$
dark-haired,JJ
dai-ichi,NNP
daydreamed,VBD
danchin,NP
damning,VBG
datapoint,NNP
daughters,NNS
dante's,NP$
darbuka,NN
daybed,NN
dallara,NNP
day-care,JJ
dack-rihs,NNS
datelined,VBN
dan's,NP$
dante,NP
dakota,NNP
daylight,NN
danseur,NN
damnation,NN
darkening,VBG
darkhaired,JJ
dawn,NN
danube,NNP
dauphine,NP
daddy's,NN$-TL
dangled,VBD
darkness,NN
darrow,NP
daytime,NN
daniel,NNP
dare-base,NP
davidson's,NP$
damas,NP
darling,JJ
dating,VBG
dauphin,NN
dark-brown,JJ
dashiell,NP
dahl,NNP
daggerman,NN
dangling,VBG
dark-skinned,JJ
daffodils,NNS
dandily,RB
dabbled,VBD
danny's,NP$
dang,JJ
dashing,VBG
dabbles,VBZ
days',NNS$
data-handling,NN
dan'l,NP
darwinism,NP
darius,NP
dates,NNS
daughter,NN
daunted,VBN
days,NNS
dana's,NP$
david,NNP
dated,VBN
daubed,VBD
davis,NNP
darlin',JJ
daisies,NNS
danzig,NNP
day's,NN$
daylight's,NN$
daybreak,NN
danced,VBD
dabbing,VBG
danger,NN
dailies,NNS
das,FW-AT-TL
dancers',NNS$
darlene,NP
danged,VBN
dances,NNS
dancer,NN
dark-blue,JJ
dabbler,NN
davits,NNS
dade's,NP$
dachshund,FW-NN
darwen,NP
darnell,NP
dagers,NNS
dappertutto,NP
dainty-legged,JJ
dams,NNS
damp,JJ
daniels,NNP
dawns,VBZ
dazzling,VBG
dabhumaksanigalu'ahai,FW-VB
daer,NP-TL
damn,RB
dangers,NNS
daunt,VB
damaging,JJ
dame,NN
darkling,JJ
danish,JJ
darting,VBG
dampness,NN
dabbed,VBD
danbury,NP-TL
danehy,NP
danville,NNP
dalton's,NP$
dammit,UH
davy,NP
danubian,NP
dave,NP
dana-farber,NNP
daly,NP
dangle,VB
dadaism,NP
dainty,JJ
dalzell-cousin,NP
dangerous,JJ
davies,NNP
dans,FW-IN-TL
dabbling,VBG
darkhorse,NNP
dandy's,NP$
dank,JJ
dashboard,NN
dazed,VBN
darwin's,NP$
dane,NP
daddy,NN
davenport,NNP
damned,VBN
dana,NP
darker,JJR
darling's,NP$
danes,NPS
dazzled,VBN
dash,NN
darrell,NNP
dangerously,RB
dazzles,VBZ
dazzler,NN
dawson,NP
dartmouth's,NP$
day-after-day,JJ
damaged,VBN
daring,VBG
dallas,NNP
dashed,VBN
dandelion,NN
damage,NN
dakotas,NNPS
da-da-da-dum,UH
damages,NNS
damon,NP
dashwood,NP-TL
dammed-up,VBN
dark-green,JJ
davidson,NP
dalloway,NP
dale,NNP
dampened,VBD
dali,NP
dazzle,VB
dak.,NP
daylights,NNS
dave's,NP$
dammed,VBD
dappled,VBN
date,NN
dailey,NP
data-processing,JJ
data,NNS
davy's,NP$
darned,RB
danaher,NP
danny,NP
darin',VBG
dallas-headquartered,JJ
dade,NP-TL
dancing,NN
daily,JJ
dared,VBN
day-watch,NN
darkened,VBD
daiwa,NNP
daphne,NP
dancelike,JJ
dactyls,NNS
dares,VBZ
dam',JJ
david's,NP$
