term,tag
earthworm,NN
east-west,JJ
earth,NN-TL
earned,VBD
ease,VB
earlham,NNP
easterners,NNS-TL
eatable,JJ
eager,JJ
easy,JJ
earnestly,RB
east,NNP
easter,NP
easier,JJR
easy-going,JJ
earle,NNP
eat,VBP
early,JJ
earnest,JJ
earl,NP
easily,RB
earn,VB
easel,NN
eased,VBD
easy-to-operate,JJ
each,DT
eases,VBZ
ears,NNS
earth-week,NN
early-season,NN
eakle,NNP
earns,VBZ
eades,NP
earning,VBG
eatings,NNS
earrings,NNS
eave,NN
eagle,NN
eating,VBG
easthampton,NP
earned-run,NN
earliest,JJS
earthquake,NN
eastland,NP
easy-to-read,JJ
eared,JJ
earp,NP
ear-muffs,NNS-TL
eatables,NNS
early-retirement,JJ
earthmen's,NPS$
earthly,JJ
earth-touching,JJ
easy-to-reach,JJ
earthenware,NN
earthy,JJ
eagles,NNS
earsplitting,JJ
eastern,NNP
earmarked,VBN
earth-bound,JJ
eaters,NNS
easy-to-spot,JJ
eastman,NP
ear,NN
easiest,JJT
easement,NN
earth's,NN$
earthquakes,NNS
eagleton,NNP
eaton,NNP
eagle's,NN$-TL
eardrums,NNS
eagerness,NN
eastward,RB
earnestness,NN
earthmoving,NN
earth-weeks,NNS
eagerly,RB
easements,NNS
eastwick,NP-TL
earnings,NNS
easygoing,JJ
early-morning,NN
earthmen,NPS
earlier,RBR
eaten,VBN
earphones,NNS
eats,NNS-TL
easing,VBG
