term,tag
elfin,JJ
elec's,NP$
elegances,NNS
eliot-or-martin,NIL
eludes,VBZ
elman,NP
eldest,JJT
elisabeth,NNP
electrification,NN-TL
elan,NN
elemental,JJ
eleventh-floor,NN
electors,NNS
elegies,NNS-TL
eluded,VBD
electronically,RB-HL
elk,NN
elburn,NP-HL
eli,NP
ellipsoid,NN
eligible,JJ
electricity,NN
elegiac,JJ
elucidated,VBN
electrophoresis,NN
ellipsoids,NNS
elaborately,RB
ellipses,NNS
elevation,NN
eloise,NP
elders,NNPS
elliptical,JJ
electives,NNS
elapsed,VBD
electron,NN
elevates,VBZ
elapses,VBZ
elena,NP
eligio,NP
elated,VBN
elapse,VB
else's,RB$
electrical-safety,JJ
eluard,NP
eloquence,NN
eleanor,NP
electrically,RB
elegy,NN
elution,NN
electorate,NN
el,NNP
elephants,NNS
elevators,NNS
eloped,VBD
elderly,JJ
eluding,VBG
elegant,JJ
eldon,NP
election,NN
eliminating,VBG
elephantine,JJ
electrode,NN
elisa,NNP
electric,JJ
ellis,NNP
electoral,JJ
ellie,NP
eliminate,VB
eluates,NNS
ellipsis,NN
electronics,NNS
electroshocks,NNS
eliminations,NNS
eligibility,NN
electress,NN-TL
elysees,NP
eluted,VBN
elijah,NP
elementary-school,NN
electing,VBG
eli's,NP$
electrolysis,NN
ell,NN
elaborate,VB
elm,NN
electriques,FW-JJ-TL
elector,NN-TL
elks,NNS-TL
elinor,NP
eloquently,RB
elongated,VBN
elect,VB
elaborated,VBN
elasticity,NN
elaborates,VBZ
elder,NN
eleventh,OD
elevated,VBN
elementary,JJ
elms,NNS
electronic,JJ
ellsworth,NP
electrocardiogram,NN
elba,NP
elco,NNP
elastic,JJ
elizabethan,JJ
elmer,NP-TL
elevator,NN
eleazar,NP
eleven,CD
elbowing,VBG
electric-utility,NN
eluate,NN
elaboration,NN
elsewhere,RB
elvis,NP
eliminates,VBZ
else,RB
elmhurst,NNP
elsinore,NP
elimination,NN
eliminated,VBN
elite,NN
electroshock,NN
elected,VBN
electra,NP
elections,NNS
elaine's,NP$
electrophorus,NN
electrostatic,JJ
electrotherapist,NN
elephant's,NN$
elbow,NN
elegantly,RB
electrifying,JJ
electron-microscopical,JJ
elgin,NP
elucidation,NN
electric-sewer-water,NN
electrodynamics,NN
elmira,NP
ellison's,NP$
elicit,VB
elisha,NP
electronography,NN
elsevier,NNP
elios,NP
eliot,NP
eloi,NP-TL
elicited,VBD
eloquent,JJ
ellwood,NP
elegance,NN
electro-magnetic,JJ
elation,NN
electrical,JJ
ellen,NP
elephant,NN
elaine,NP
elliott,NNP
electromyography,NN
elbows,NNS
elements,NNS
elizabeth,NNP
elicits,VBZ
ella,NP
electrocardiograph,NN
ellamae,NP
elizabethans,NPS
electromagnetism,NN-HL
elec,NP
elusive,JJ
electromagnet,NN
elusiveness,NN
elongation,NN
element,NN
electrons,NNS
elsie,NP
electric's,NN$-TL
