term,tag
embassies,NNS
emerging,VBG
embarrassingly,QL
emmanuel,NP
emmerich,NP
emissaries,NNS
embezzlement,NN
embassy,NNP
embezzle,VB
embroideries,NNS
emergence,NN
emulsion,NN
emaciated,VBN
emile's,NP$
embittered,VBN
employes,NNS
employer,NN
emasculation,NN
employee,NN
employed,VBN
embossed,VBD
emphatically,RB
emperor's,NN$
emerged,VBD
emergency,NN
emphasizes,VBZ
employers,NNS
emergencies,NNS
emigrated,VBN
embark,VB
emanations,NNS
emerald,NN
emphasized,VBD
emma,NP
embarked,VBN
embankment,NN
embryonic,JJ
employers',NNS$-TL
em,PPO
employing,VBG
emeralds,NNS-NC
emergent,JJ
emphases,NNS
empire,NN
emptiness,NN
employment,NNP
emigrating,VBG
empires,NNS
emerges,VBZ
eminent,JJ
emotions,NNS
emphysema,NN
emanuele,NP
embodies,VBZ
emmett's,NP$
eminently,RB
empower,VB
emitted,VBN
embarrassment,NN
emblematic,JJ
empiricism,NN
emigrant,NN-TL
emile,NNP
empowering,VBG
empedocles,NP
emmert,NP
employees,NNS
embodiments,NNS
emilio,NP
emperor,NN-TL
emcee,NN
emotion,NN
emerge,VB
embraces,NNS
eminonu,NP-TL
emptied,VBD
embarrassed,VBN
embouchure,NN
embraced,VBD
empties,VBZ
emptier,JJR
eminence,NN
emigrate,VB
emory,NP-TL
employee-contributed,JJ
emigres,NNS
employments,NNS
empty,JJ
emulated,VBN
emission,NN
emasculated,VBD
emerson's,NP$
empathy,NN
emitting,VBG
emeritus,JJ
emperors,NNS
emancipate,VB
embargo,NN
emil,NP
embedded,VBN
emboldened,VBN
embodying,VBG
empirical,JJ
employ,NN
emerson,NP
emissions,NNS
embody,VB
emotional,JJ
emmett,NP
emit,VB
embroidery,NN
employe,NN
embarrassing,JJ
emphasizing,VBG
emanation,NN
emasculate,VB
embroidered,VBN
embezzling,VBG
embrace,NN
employs,VBZ
employee's,NN$
emptying,VBG
embattled,VBN
embodiment,NN
emotionalism,NN
emancipated,VBN
empowered,VBN
emphasis,NN
emphasize,VB
emanated,VBD
empirically,RB
emulsified,VBN
emphatic,JJ
embellished,VBN
embroiled,VBN
emma's,NP$
emotionally,RB
embodied,VBN
emulate,VB
embalmers',NNS$
embarcadero,NP
emanating,VBG
emphysematous,JJ
emancipation,NN-TL
empowers,VBZ
embryo,NN
emissary,NN
emigration,NN
emotionality,NN
emanuel,NP
embracing,NN
