term,tag
encouragingly,RB
enjoyable,JJ
entropy,NN
en-lai,NP
encores,NNS
enjoined,VBN
endings,NNS
environment,NN
enjoying,VBG
endogenous,JJ
encircle,VB
engineered,VBN
enslavement,NN
enslaved,VBN
entries,NNS
enrollments,NNS
encroaching,VBG
encounter,VB
entire,JJ
enmities,NNS
enos,NP
enclosing,VBG
enhance,VB
enzor,NNP
enforce,VB
en-lai's,NP$
enjoy,VBP
entourage,NN
encloses,VBZ
encroachment,NN
enclosed,VBN
enjoin,VB
enoch,NP
envisions,VBZ
enticing,VBG
endangering,VBG
encrusted,VBN
endorse,VB
entertain,VB
enjoinder,NN
enterprising,JJ
engraving,NN
enroll,VB
engage,VB
enmity,NN
envoy,NN
envious,JJ
enactment,NN
ensign,NN-TL
enlivened,VBN
enterprisingly,RB
entails,VBZ
entrance,NN
engender,VB
endurable,JJ
envelope,NN
enslave,VB
entwined,VBN
enviously,RB
enlightenment,NN
entertained,VBN
endearments,NNS
entrepreneurs,NNS
entertainer,NN
endow,VB
enfant,FW-NN
ensnarled,VBN
enrique,NP
engagingly,RB
envenomed,VBN
end,NN
enlargd,VBN
enlarge,VB
enforcers,NNS
end-product,NN
endorsement,NN
entrench,VB
ensemble,NN
encampment,NN
encephalographic,JJ
engineers',NNS$
endgame,NN-TL
enzymes,NNS
enter'd,VBN
enervating,VBG
encyclopedia,NN
encyclopedic,JJ
enter,VB
encased,VBD
entity,NN
ended,VBD
energies,NNS
encompasses,VBZ
entranced,VBN
endeavoring,VBG
enlisted,VBN
enny,DTI
encompassed,VBN
enrich,VB
enrico,NP-TL
endeavored,VBD
enacted,VBN
enviable,JJ
enlargements,NNS
enterteyned,VBN
enviably,RB
end-to-end,JJ
entirely,RB
energetically,RB
encephalitis,NN
enigmatic,JJ
en,FW-IN-TL
england,NNP
enthusiasts,NNS
energy,NN
engaging,VBG
enemy's,NN$
entering,VBG
endearment,NN
enright's,NP$
enclosure,NN
entertainment,NNP
engisch,NP
enforceable,JJ
england's,NP$
encourage,VB
engrossing,JJ
enciphered,VBN
enforcing,VBG
encroach,VB
enveloping,VBG
entwhistle,NP
enlightened,VBN
enormous,JJ
enchant,VB
envied,VBD
entrusted,VBN
enrollees,NNS
enraged,VBD
ensolite,NP
endowments,NNS
encouraging,VBG
enlarged,JJ
enormity,NN
englanders,NPS-TL
engineer,NN
english-scottish-french,JJ
engagement,NN
engle's,NP$
entreated,VBD
enforcement,NN
enhancing,VBG
environmental,JJ
enmeshed,VBN
endlessly,RB
english-born,JJ
enabled,VBD
encomiums,NNS
entry-limited,JJ
engineering-management,NN
enables,VBZ
entranceway,NN
enforced,VBN
encumbered,VBN
entail,VB
entombed,VBN
enchanted,VBN
entry-limit,NN
encyclopedias,NNS
endangered,VBN
entirety,NN
enervation,NN
energy-services,JJ
energizes,VBZ
enduring,VBG
engagements,NNS
enamel,NN
enthusiastic,JJ
ensues,VBZ
enlist,VB
enterprise,NNP
entertaining,JJ
ensued,VBD
enigma,NN
ending,VBG
endowment,NN
enjoyed,VBN
enthusiast,NN
envy,NN
ensembles,NNS
enamelled,VBN
entities,NNS
enzyme,NN
enriched,VBN
engrg,NN
enthusiasm,NN
ensconced,VBD
enthrones,VBZ
endless,JJ
enemy,NN
encroached,VBD
enclaves,NNS
engraver,NN
engraved,VBN
enhances,VBZ
endosperm,NN
