term,tag
equity-purchase,JJ
equally,RB
equinox,NP-TL
equator,NN
equal-opportunity,NN
equip,VB
equines,NNS
equalizing,NN
equating,NN
equanimity,NN
equidistantly,RB
equities,NNS
equivalence,NN
equ,NN
eqns.,NNS
equipment,NN
equate,VB
eqn.,NN
equity,NN
equivalents,NNS
equated,VBD
equilibrium,NN
equitably,RB
equivocal,JJ
equatorial,JJ
equivalent,JJ
equipped,VBN
equals,VBZ
equipotent,JJ
equipping,NN
equaling,VBG
equidistant,JJ
equitable,NNP
equations,NNS
equivalent-choice,NN
equus,NNP
equalizers,NNS
equilibriums,NNS
equality,NN
equine,NN
equalled,VBN
equation,NN
equalization,NN
equal,JJ
equalize,VB
eq.,NN-TL
equilibrated,VBN
