term,tag
essay,NN
esters,NNS
escape's,NN$-TL
essence,NN
eschewed,VBN
esnards,NPS
essentials,NNS
espouses,VBZ
estimating,VBG
escutcheon,NN
escapees,NNS
espoused,VBD
esther,NP
escritoire,NN
estranging,VBG
estuaries,NNS
escorting,VBG
estranged,VBD
establishing,VBG
esthetics,NN
espanol,FW-NP
essential,JJ
escalation,NN
escadrille,FW-NN-TL
estimates,NNS
esplanade,NN
escape,NN
estimated,VBN
essayists,NNS
established,VBD
est,NNP
esp,NN
establishes,VBZ
esn,NN
espionage,NN
escaping,VBG
espagnol,FW-JJ
esmarch,NP
eskimos,NPS
essentially,RB
eschews,VBZ
estella,NP
estates,NNP
estimation,NN
escapade,NN
estella's,NP$
esprit,FW-NN
essex,NP-TL
esteem,NN
establish,VB
estimate,NN
estate,NN
escalated,VBN
establishments,NNS
escort,NN
espousal,NN
essays,NNS
esoteric,JJ
escrow,NN
escapist,NN
esterases,NNS
esperanza,NP-TL
eschewing,VBG
escorted,VBD
estherson,NP
espouse,VBP
escheat,NN
escapes,NNS
escutcheons,NNS
escaped,VBD
estrangement,NN
essayed,VBN
espousing,VBG
escapades,NNS
esquire,NP
esteemed,VBD
estes,NP
estep,NP-TL
eshleman,NP
establishment,NN
esthetic,JJ
essences,NNS
eschew,VB
esse,FW-VB-NC
eskimo,NP
esso,NN
escorts,NNS
especially,RB
