term,tag
felice's,NP$
feathered,VBN
feline,JJ
feedback,NN
festivus,FW-JJ
ferc,NNP
fear-filled,JJ
fennel,NN
fecund,JJ
felon,NN
fertile,JJ
fear,NN
feat,NN
femme,FW-NN
featherbed,NN-HL
fellow-craftsmen,NNS
feeding,NNP
feminist,NN
fernand,NP
fenced,VBN
feathery,JJ
federalize,VB
fee-per-day,JJ
felicities,NNS
fervor,NN
felske,NP
feather-like,JJ
fences,NNS
feats,NNS
fermate,FW-VB
feebly,RB
ferret,VB
federation,NNP
federico,NP
fence-line,NN
ferment,NN
feeney,NP
felicity,NP
ferguson,NP
fern,NN
feathertop's,NP$
feeble,JJ
feeder,NN
february,NNP
ferber,NP
feverish,JJ
feast,NN
fernando,NNP
fewer,JJR
fenders,NNS
festivities,NNS
feigned,VBN
fend,VB
feudalism,NN
felix's,NP$
feeds,VBZ
fertility,NN
fearing,VBG
fence,NN
fellowships,NNS-TL
feedings,NNS
feathers,NNS
feeding-pain,NN
feasibility,NN
felonious,JJ
federal-question,NN
fetal-tissue,NN
fellas,NNS
feyer's,NP$
fermenting,VBG
feared,VBD
federal,JJ
feuds,NNS
feuchtwanger,NP
fellows,NNS
fellowship,NNP
felony,NN
fetish,NN
feathertop,NP
femmes,FW-NNS-TL
feuermann,NP
feted,VBN
ferocious,JJ
festive,JJ
fellow-creatures,NNS
fearless,JJ-TL
fetishize,VB
femininity,NN
fealty,NN
fetes,NNS
feare,NN
feed-lot,NN
festering,VBG
feigning,VBG
federalist,NNP
fervors,NNS
ferromagnetic,JJ
feelers,NNS
feeley,NP
federal-right,NN
feasible,JJ
feis,NP-TL
female's,NN$
federalism,NN
fellow-men,NNS
fearlessly,RB
feed,VBP
feverishly,RB
felled,VBN
fee-per-case,JJ
fernery,NN
features,NNS
felons,NNS
feel,VB
feasts,NNS
feelings,NNS
feet,NNS
featured,VBD
fearfully,RB
feller,NN
female,JJ
fees,NNS
festivals,NNS
feudal,JJ
feb.,NNP
fella,NN
fed,NNP
fee,NN
feversham,NP-TL
fevered,JJ
featureless,JJ
few,JJ
festival,NN-TL
ferguson's,NP$
ferris,NP
fer,IN
feather,NN
ferocity,NN
felonies,NNS
females,NNS
fens,NNS
fellow-employees,NNS
feint,VB
fellini,NP
feminine,JJ
federally,RB
fellow-countryman,NN
ferrell,NP
featuring,VBG
felling,VBG
fear-maddened,JJ
ferraros,NPS
ferreted,VBD
fearful,JJ
feeling-state,NN
feler,NN
ferro,NNP
february's,NP$
ferry,NN-TL
feeling,VBG
fenster,NP
fetch,VB
fermentation,NN
fernberger,NP
febrile,JJ
fed.,JJ-HL
felix,NP
feringa,NP
fertilizers,NNS
fellow,JJ
ferns,NNS
federal-state,NN
felice,NP
fearsome,JJ
fergeson,NP
felicitous,JJ
fedora,NN
fetching,VBG
fencing,NN
fenwick,NP
fears,NNS
feature,NN
fellowfeeling,NN
felten,NNP
fete,NN-TL
federals,NPS
featherbedding,VBG
ferdinand,NNP
ferdinando,NP
fergusson,NP
ferried,VBN
fenugreek,NN
fellers,NNS
fever,NN
felt,VBN
fertilized,VBN
fetid,JJ
fecundity,NN
fell,VBD
feds,NPS
fe,NNP
fervently,RB
ferries,NNS
fertilizer,NN
featherweight,NN-TL
fervent,JJ
fela,NN
fermented,VBN
feniger,NNP
feasting,VBG
feels,VBZ
ferlenghetti,NP
feud,NN
fermentations,NNS
ferraro,NP
ferociously,RB
fenway,NP-TL
feudalistic,JJ
fender,NN
fetal,JJ
