term,tag
fixed-rate,JJ
fig.,NN-TL
fitch,NP
film's,NN$
five-day,JJ
fixtures,NNS
first-run,NN
fingernails,NNS
finally,RB
fizzled,VBN
fill-in,NN
fists,NNS
fireplaces,NNS
figment,NN
firebreaks,NNS
finney's,NP$
fireplace,NN
fire-resistant,JJ
five-days-a-week,JJ
firma,FW-JJ
findings,NNS
first-degree,NN
fill-ins,NNS
fingerings,NNS
filibusters,NNS
filler,NN
filles,FW-NNS
fingers,NNS
fiori,NP
fing,NP
firms,NNS
filled,VBN
filings,NNS
filbert,NN
fifteenth,OD
fissured,VBN
finders,NNS-TL
filched,VBD
fiber-photocathode,NN
fifth-grade,NN
field's,NP$
filde,VBN
fire-fighting,JJ
fifty-three,CD
fine-grained,JJ
fitfully,RB
fifty-pound,JJ
filmy,JJ
films,NNS
fike,NP
fiedler,NP
first-hand,JJ
fingered,VBD
fifteenth-century,NN
five-member,JJ
fiction-writing,NN
fiercely,RB
fifty-one,CD
fiefdom,NN
finger-held,JJ
five-month,JJ
figure,VB
fillies,NNS
fiche,FW-NN
fillip,NN
firmly,RB
filter,NNP
five-hundred-dollar,JJ
finger-post,NN
finalist,NN
finberg,NP
fielders,NNS
five-home,NN
filament,NN
five-year,JJ
fine-looking,JJ
fitc,NN
fiber-coupled,JJ-HL
filmstrips,NNS
finality,NN
fits,NNS
fiats,NPS
filthy,JJ
fifteen-sixteenths,NNS
fixed-income,JJ
five-hundred,CD
fictional,JJ
fictitious,JJ
fife,NP-TL
finalized,VBN
fiendish,JJ
filters,NNS
fidelity,NNP
fir,NN
fittings,NNS
fit,NN
fined,VBN
fix,VB
first-level,NN
filets,NNS
fig,NN
filberts,NNS
fin,NN
fines,NNS
finer,JJR
finance,NN
five-minute,JJ
finmeccanica,NNP
fiesta,NN
fingerprint,NN
field-sequential,JJ
first-rate,JJ
fiction-writer's,NN$
fibrosis,NN
filling,VBG
firings,NNS
fisherman,NN
fishmongers,NNS
fitness,NN
financial,JJ
fired,VBN
fisk,NP
fish,NN
fishpond,NN
finger-paint,VB
fires,NNS
fist,NN
fingertips,NNS
filmdom,NN-TL
first-class,NN
finney,NP
fielded,VBD
finned,VBD
five-ply,JJ
finnsburg,NP
fifty-odd,CD
fiber,NN
fiat,NN
finland,NNP
field-hands',NNS$
fifty-four,CD
first,JJ
finest,JJS
fischer,NNP
filigree,NN
filial,JJ
field-flattening,JJ
financed,VBN
five-foot,JJ
fiction,NN
fiery,JJ
fifteen-mile,JJ
final,JJ
filibuster,NN
fibrous,JJ-HL
fist-fighting,NN
firehouses,NNS
financing,VBG
finances,NNS
fishermen,NNS
finan,NP
fieldstone,NN
fights,NNS
fireside,NN-TL
financier,NN
first-order,NN
five-coordinate,JJ
five-and-dime,NN
fishing-boat,NN
fitting,VBG
fictive,JJ
finding,NN
