term,tag
flapper,NN
flannagan,NP
floodheads,NNS
flushing-main,NP
flesh,NN
florida's,NP$
flicker,VB
flower-scented,JJ
flips,NNS
fleming,NP
flounders,VBZ
flouted,VBN
florentine,JJ
fletcher,NP
flapped,VBD
flattering,VBG
flavor,NN
flicked,VBD
flim-flammery,NN
flashlight,NN
flynn's,NP$
flubbed,VBD
fluttered,VBD
flooring,NN
flares,NNS
floresville,NP
flash,NN
flutist,NN
fluidity,NN
flights,NNS
flashing,VBG
flugel,NP
flexed,VBD
flavorings,NNS
flatter,VB
flex,NN
fluctuating,VBG
fledermaus,FW-NN-TL
floodlit,VBN
flail,NN
flour,NN
flattery,NN
fluid,JJ
floated,VBN
flirted,VBN
flocculation,NN
fluid-filled,JJ
flashback,NN
flora,NNS
flint,NN
flea,NN-TL
fleck,NN
floyd's,NP$
flee,VB
fled,VBD
fly-dotted,JJ
flannel,NN
flocculated,VBN
fleas,NNS
flemings,NPS
flammable,JJ
flavoring,NN
fly-boy,NN
floods,NNS
florican-my,NP
flickered,VBD
flecked,VBN
flamboyantly,RB
flux,NN
float,VB
flor,NP
flashy,JJ
flanked,VBD
flyers,NNS
flaxseed,NN
flogged,VBD
flotte,NP
flair,NN
flick,NN
flexural,JJ
flood-ravaged,JJ
fleischman,NP
fluted,VBN
flyways,NNS
fluffy,JJ
flagrant,JJ
flautist's,NN$
flip,VB
flagellated,VBN
floating-load,NN
flatten,VB
flatly,RB
flush,VBP
florican-inverness,NP
flock,NN
flatus,NN
flower's,NN$
floodlight,NN
flag-stick,NN
floured,VBN
flotation-type,JJ
flower,NN
floorshow,NN
fluorinated,VBN
flintless,JJ
fluids,NNS-HL
fledglings,NNS
flounder,VB
flag-wavers,NNS
fleischmanns,NP
flattening,VBG
flowed,VBD
flushing,NP
flowing,VBG
flumenophobe,NP
flicks,NNS
flimsies,NNS
flannagans',NPS$
fluctuates,VBZ
flicking,VBG
floradora,NP
flite-king,NP-TL
fleet's,NN$-TL
fluke,NN
flyer,NN
floundering,VBG
flats,NNS
floater,NN
fluorescent,JJ
flowering,NN
fluently,RB
flathead,NN
flory,NP
flourished,VBD
flames,NNS
flannagans,NPS
flare,NN
florida,NNP
flake,VB
flipped,VBD
flawless,JJ
flourishes,VBZ
flanders,NP
flagler's,NP$
floorboards,NNS
flyaway,JJ
fleshy,JJ
fluttering,VBG
flask,NN
flitting,VBG
fleets,NNS
flies,VBZ
flier,NN
flood's,NN$
fleeing,VBG
flautist,NN
fluorescein,NN
flurried,VBD
flailing,VBG
flipping,VBG
flatland,NN
flattest,JJT
flexibility,NN
floors,NNS
fleetest,JJT
flying-mount,NN
florist,NN
fla.,NNP
florence,NP
flushed,VBN
fluorine,NN
flourishing,VBG
flavors,NNS
flaws,NNS
fluff,NN
flagrantly,RB
flustered,VBN
flying,NN
flowered,VBN
fleisher's,NP$
flimsy,JJ
flippers,NNS
flippant,JJ
flaunting,VBG
flounced,VBD
flexible,JJ
floats,VBZ
flashlight-type,JJ
flynn,NP
flng,VB
flame-throwers,NNS
flat,JJ
flaw,NN
flocked,VBD
fleeting,JJ
flap,NN
flaxen,JJ
floppy,JJ
fluxes,NNS
flopped,VBD
flax,NN
flemish,JJ
flag,NN
floyd,NNP
flapping,VBG
flotilla,NP
flowers,NNS
fleawort,NN
flinching,VBG
fly,VBP
flamboyant,JJ
floes,NNS
flatiron,NN
flu,NN
flirtatious,JJ
flashed,VBN
flirt,VB
fluorescein-labeled,JJ
flannels,NNS
flame,NN
fluoresces,VBZ
fln,NN
flailed,VBD
flashes,NNS
flatteringly,QL
flooding,VBG
flees,VBZ
floridian,NP
flood-lighted,JJ
flamed,VBD
flop,NN
fleisher,NP
flat-footed,JJ
flour-milling,JJ
fluctuation,NN
flaring,VBG
flung,VBD
flouting,NN
fluting,NN
flat-bed,NN-HL
flatness,NN
flight,NN
floating,VBG
floridians,NPS
fluency,NN
floor-length,NN
florio,NNP
flared,VBD
floor,NN
florid,JJ
fling,VB
flaming,VBG
floating-rate,JJ
flaky,JJ
flat-topped,JJ
flood,NN
flank,NN
flageolet,NN
flatulent,JJ
flotillas,NNS
fledgling,NN
flash-bulbs,NNS
flakes,NNS
flavored,VBN
flattered,VBN
fluoride,NN
flanking,VBG
floundered,VBN
floor-to-ceiling,JJ
flatnesses,NNS
flooded,VBN
flute,NN
flange,NN
flows,VBZ
flatulence,NN
floc,NN
flurry,NN
flown,VBN
flattened,VBN
flew,VBD
flirtation,NN
flocking,VBG
floral,JJ
flock's,NN$-TL
flourish,VB
flutter,NN
fleet,NN
flotte's,NP$
flat-bottomed,JJ
fluorescence,NN
flavus,NP
flocks,NNS
flappers,NNS
flagpoles,NNS
flowerpot,NN
flow,NN
flanagan,NP
fluctuations,NNS
fluent,JJ
florist's,NN$
flags,NNS
flyer-castle,NP
flagellation,NN
flem,NP
flops,VBZ
flog,VB
flightiness,NN
floe,NN
flaunted,VBD
