term,tag
forget,VB
founder,NN
forellen,FW-NN-TL
forbidden,VBN
four-year,JJ
focus,VB
foul,JJ
four,CD
fortiori,FW-JJR
forged,VBN
forty-six,CD
follow,VB
foreshortened,VBN
forte-pianos,NNS
fortresses,NNS
food-preservation,NN
foster,NNP
foamed-core,NN
formed-tooth,NN
fox's,NN$
fourth-of-july,NP
fortier,NP
forties,NNS
four-wheel-drive,NN
formula,NN
forked,VBN
forgiving,JJ
founded,VBN
fontainebleau,NP
forth,RB
folk-dance,NN
fogy,NN
forand,NP
fogg,NP
force,VB
foreground,NN
folds,NNS
form-creating,JJ
forthrightness,NN
fold,VB
forging,VBG
foals,NNS
folk,NN
forestall,VB
foregoing,NN
foodstuffs,NNS
focuses,VBZ
formats,NNS
foam's,NN$
focused,VBN
forum,NN
foundation's,NN$-TL
foolishness,NN
forages,NNS
food-industry,NN
fosdick's,NP$
fourth-quarter,NN
fox-hounds,NNS
foresee,VB
forbid,VB
fords,NNS
follower,NN
forums,NNS
forisque,FW-RB+CC
foreknowledge,NN
fourteen-nation,JJ
followin',VBG
forefathers,NNS
formally,RB
formality,NN
foregone,VBN
forswears,VBZ
foolishly,RB
forbore,VBD
foundations,NNS
four-year-old,JJ
folder,NN
four-syllable,JJ
fooling,NN
fortified,VBN
foppish,JJ
foods,NNPS
founder-conductor,NN
foci,NNS
founder-originator,NN
foliage,NN
following,VBG
fortress,NN
forays,NNS
forerunners,NNS
fortescue,NP
fortunes,NNS
fortunately,RB
formations,NNS
foreseen,JJ
foreshortening,NN
forest,NN
fourth,JJ
footman,NN
fostered,VBN
forefingers,NNS
fouled,VBD
fourteen-team,JJ
footpath,NN
forty-nine,CD
foundering,VBG
foolhardy,JJ
foretell,VB
forebears,NNS
foresaw,VBD
folksongs,NNS
forfeit,VB
fortify,VB
fortunate,JJ
forty-second,OD-TL
forma,NN
four-o'clock,NN
forms,NNS
followeth,VBZ
foreign-aid,NN
founders,NNS
foot-high,JJ
formosa,NP
foulest,JJT
focussed,VBD
food,NN
foot,NN
formulating,VBG
folk-lore,NN
foreami,NP
footstool,NN
foreman's,NN$
football's,NN$
fonta,NP
forthright,JJ
foggia,NP
formulate,VB
folkston,NP
fortnight,NN
forgot,VBD
four-element,JJ
footfalls,NNS
forts,NNS
forty,CD
forte,NN
fountain,NNP
fortitude,NN
fondly,RB
four-foot-high,JJ
foundation,NNP
forty-niners,NNS
forgive,VB
fourteen,CD
formation,NN
forcibly,RB
forbids,VBZ
fortune-tellers,NNS
forever-cathy,NP
fortune-happy,JJ
fonder,JJR
foibles,NNS
footwear,NN
foreign-entry-limit,NN
footnotes,NNS
footsteps,NNS
folio,NN
foreign-policy,NN
four-sided,JJ
four-hour,JJ
forwarding,VBG
footballer's,NN$
forgery,NN
foldable,JJ
foreign-led,JJ
fouling,NN
folk-tale,NN
four-fold,JJ
forethought,NN
formalities,NNS
foamy,JJ
focusing,VBG
fooled,VBN
foams,NNS
fore-play,NN
four-day,JJ
foul-smelling,JJ
folly,NN
fourth-flight,NN
formby's,NP$
foreleg,NN
foiles,NP
fork,NN
foamy-necked,JJ
footnote,NN
focally,RB
forward-moving,JJ
follow-through,NN
forbes's,NP$
forcefulness,NN
fourteenth,OD
foiled,VBN
forced,VBD
foss,NP
foreign-stock,JJ
foreigner,NN
forebearing,VBG
forces,NNS
foamed,VBD
folders,NNS
formulas,NNS
fountains,NNS
formulae,NNS
foisted,VBN
forever,RB
food-processing,JJ
forerunner,NN-TL
fogg's,NP$
