term,tag
generalization,NN
german,JJ
gettysburg,NP
gerby,NP
ge,NN
geraghtys',NPS$
generalize,VB
geniuses,NNS
germanized,VBN
gerosa's,NP$
gems,NNS
generous,JJ
gentleness,NN
generator,NN
gentian,NN
gerald,NNP
geological,JJ-TL
genevieve,NP
generators,NNS
generalist,NN
gelatin-like,JJ
germs,NNS
geo-political,JJ
georgians,NPS
gee's,NP$
generously,RB
get,VB
genera,NNS
gemlike,JJ
geometrical,JJ
gestures,NNS
germano-slavic,JJ
gee,UH
george's,NP$
geometric,JJ-TL
gem,NN
gel,NN
germania,NP
germanium,NN
germanic,JJ
germinate,VB
georges,NP
gender,NN
gershwin,NP
genteel,JJ
gears,NNS
generations,NNS
geary,NP
geldings,NNS
generation,NN
gentile,NN
geometrically,RB
geiger,NP
gevurtz,NP
geely,NP
gentility,NN
genetics,NNP
gettin',VBG
gene-princess,NP
get-out-the-vote,JJ
geocentricism,NN
gentleman,NN
gen.,NN-TL
genius,NN
geochemistry,NN-HL
getz's,NP$
geography,NN
germany-based,JJ
gear-sets,NNS
geraghty's,NP$
gentiles,NPS
gestured,VBD
genes,NNS
general-purpose,JJ
germinal,JJ
geared,VBN
genel,NNP
gemeinschaft,FW-NN
gentry,NN
genre,NN
gentians,NNS
generation's,NN$
generate,VB
gerry,NP
generals,NNS
getting,VBG
geometry,NN
geisha,NP
gentler,JJR
generale,FW-JJ-TL
geroge,NP
geraghty,NP
generalizations,NNS
gesturing,VBG
genuinely,QL
gearing,VBG
georgi,NP
gelles,NNP
gelly,NP
generalists,NNS
george,NNP
gertrude,NP
geered,VBN
general-appeal,JJ
gennaro,NP
geriatric,JJ
generalities,NNS
genetic,JJ
germ,NN
gerstacker,NP
geddes,NP
gehrig,NP
gesticulated,VBD
geologist,NN
geatish,JJ
genesis,NN
gerosa,NP
georgetown,NNP
generating,VBG
gear,NN
geneva,NNP
gentlemanly,JJ
georgian,JJ
george-barden,NP
gershwins',NPS$
georgia-pacific,NNP
geysering,VBG
gerome,NP
georgia,NNP
gencorp,NNP
getaway,NN
genealogies,NNS
generosity,NN
geodetic,JJ-TL
gestapo,NP
gesticulating,VBG
genders,NNS
gerhard,NNP
gentile-jewish,JJ
geely's,NP$
genial,JJ
geese,NNS
generality,NN
general's,NN$-TL
gesangverein,FW-NN-TL
gently,RB
geologists,NNS
general,NNP
gentle,JJ
german-language,JJ
genus,NN
georgia's,NP$
german's,NP$
germany's,NP$
genres,NNS
gershwins,NPS
genuine,JJ
geeing,NN
generic,JJ
geology,NN
generally,RB
gelding,NN
gentlemen,NNS
geographically,RB
getz,NP
generalized,NNP
geographical,JJ
georgetown's,NP$
gets,VBZ
geographers,NNS
gesamtkunstwerke,FW-NN
geocentric,JJ
generates,VBZ
get-together,NN
germane,JJ
geneticist,NN
gelatin,NN
generated,VBN
germany,NNP
geysers,NNS
germantown,NP
germans,NNPS
geopolitical,JJ
gene,NP
gegenschein,FW-NN
geraldine,NP
gesualdo,NP
genii,NN
gerard,NNP
gerundial,JJ
genie,NN
geographic,JJ-TL
gesture,NN
