term,tag
gospels,NPS
gown,NN
gov.,NNP
golf,NN-TL
gold,NN
gontran,NP
gods,NNS
gogh,NP
godot,NP-TL
goad,NN
goggles,NNS
goode,NNP
go,VBP
gossip,NN
good-size,JJ
golfer,NN
golfing,VBG
god-curst,JJ
gouged,VBD
gosaimasu,FW-VB
gottlieb,NNP
godless,JJ
goodman,NNP
gooey,JJ
governmental,JJ
going,VBG
good-will,NN
government-controlled,JJ
gospelers,NPS
gouvernement,FW-NN-TL
golf's,NN$
good,JJ
government,NN
gobbles,VBZ
gonne,VBN
gonna,VBG+TO
gogo,NP
gored,VBN
goulding,NP
goldinger,NNP
govern,VB
gorging,VBG
gobbled,VBD
governments,NNS
governess,NN
godliness,NN
gospel-singer,NN
goin',VBG
goodness',NN$
gospel,NP
government's,NN$
goddamned,VBN
goodies,NNS
goddamn,JJ
gotterdammerung,NP
goat's,NN$
goutte,FW-NN
gold-filled,JJ
government-certified,JJ
gorman,NNP
goering,NP
gorshek,NP
go-to-war,JJ
goitre,NN
gout,NN
gorton,NP
good-faith,NN
god,NNP
godkin,NP
gossamer,NN
goa,NP
government-funded,JJ
gob,NN
golden-crusted,JJ
goldwater,NP
goitrogen,NN
gouverne,FW-VBZ
goes,VBZ
got,VBD
gop,NNP
gortonists,NPS
gorboduc,NP
gordon's,NP$
gourmet's,NN$
goolick,UH
good-news,NN
government-blessed,JJ
good-looking,JJ
governing,VBG
gobblers,NNS
goitrogens,NNS
goggle-eyed,JJ
gorge,NN
goodby,UH-HL
good-hearted,JJ
gott,FW-NP
goodbody,NP
golda,NP
goods,NNS
gooshey,JJ
goody,NNP
godlike,JJ
gothicism,NP-TL
goblins,NNS
goal-line,NN
good-living,JJ
gordon,NNP
gobbledygook,NN
goverment,NN
gorgeously,QL
golden,JJ
gossiped,VBD
goethe,NP
gone,VBN
gompachi,NP
gouldings,NPS
goldfish,NN
god-like,JJ
gourd,NN
golly,UH
gomez,NP
godhead,NN
good-by,NN
governor-general,NN-TL
gouge,VB
goal-values,NNS
go-go-go,NN
gourmet,NN
goulding's,NP$
goings,NNS
gouging,VBG
goal-oriented,JJ
gourmets,NNS
gorgeous,JJ
gowns,NNS
godfrey,NP
god's,NP$
governs,VBZ
gore's,NP$
god-forsaken,JJ
goddess,NN
goethe's,NP$
gorton's,NP$
gord,NP-TL
gore,NP
goddammit,UH
good-bye,UH
government-owned,JJ
god-given,JJ
goose,NN-TL
gordin,NP
good-night,UH
gotten,VBN
gotta,NNP
goodnight,UH
governor,NN
gold-phone,JJ
gould,NP
gossiping,VBG
gothic,JJ
godwin,NP
goodis,NP
good-humoredly,RB
governor's,NN$-TL
gottingen,NP
government-supported,JJ
goldberg,NP
gogol,NP
goodness,NN
godamit,UH
gowned,JJ
goyette,NP
gorky,NP-TL
goal,NN
goddam,JJ
going-over,NN
gorbachev,NNP
gosson's,NP$
gotham,NP
gorshin,NP
gosh,UH
goldsmith,NNP
goat,NN
governmentally,RB
gosson,NP
gonzalez,NP
goodwin,NP
governors,NNS
goldman,NNP
godunov,NP-TL
government-to-government,JJ
gold-wire,NN
godsend,NN
goofed,VBD
goin,VBG
gorges,NNS
golfers,NNS
goodwill,NN
gorham's,NP$
go-it-alone,JJ
goddamit,UH
governed,VBD
gogol's,NP$
good-natured,JJ
gorham,NP
goodbye,UH
gonzales,NP
goaded,VBD
goooolick,UH
gog,NP-TL
goals,NNS
