term,tag
headsman,NN
heliocentric,JJ
heel-terka,NP
hemosiderin,NN
herpetologists,NNS
hermanovski,NP
helps,VBZ
heraclitus,NP
hell-for-leather,RB
heavy-truck,NN
health,NN
henderson,NNP
headlined,VBN
herberet's,NP$
herzfeld,NP
hershey's,NP$
henrietta,NP
heaven,NN
heaved,VBD
heel-kaola,NP
herbert,NNP
heading,VBG
heaves,VBZ
heckman,NP
healed,VBN
hemispherical,JJ
helluva,JJ
healer,NN
helpless,JJ
heine,NP
heliopolis,NP
heavy-framed,JJ
hesitation,NN
heavy-coated,JJ
heaviness,NN
hereditary,JJ
henceforth,RB
hegelian,JJ
hefty,JJ
helmets,NNS
healthily,RB
hero,NN
hempstead,NP
hemenway's,NP$
herb,NP
henrik,NP
here,RB
herd,NN
hermetic,JJ
healing,NN
heirs,NNS
hers,PP$$
herr,NP
healthy,JJ
herrmann,NP
headless,JJ
healthier,JJR
helpers,NNS
hebraic,JJ
hexagon,NN
herford's,NP$
hemlocks,NNS
heat-absorbing,JJ
herzog,NP
herring,NN
helmsman,NN
head-on,RB
heralded,VBD
hegemony,NN
hesitates,VBZ
hereby,RB
heir,NN
herein,RB
hesitated,VBD
heffer,NP-TL
headstands,NNS
henri,NP
hedda,NP
head-in-the-clouds,JJ
henry,NNP
heart,NN
hears,VBZ
hemoglobin,NN
heartless,JJ
heare,VB
heard,VBN
heaving,VBG
hearn,NP
hereinafter,RB
hesitate,VB
helium,NN
herald-american,NNP
hesitatingly,RB
heavy-electrical-goods,NNS
hepker,NP
heinkel,NP
helmut,NP
heartbreaking,JJ
herberet,NP
hedonism,NN
heroes,NNS
herd-owner,NN
headdress,NN
heavers,NNS
heliotrope,NN
heat-processing,JJ
herold,NP
helsinki,NNP
headquarters,NNS
helplessly,RB
heavily-upholstered,JJ
heatherington,NNP
heart-warming,JJ
hendl,NP
help,VB
heartfelt,JJ
heebie-jeebies,NNS
held,VBN
helene,NP
helm,NN
hell,NN
he's,PPS+BEZ
heretofore,RB
heron,NP
hewed,VBN
he'd,PPS+MD
heroism,NN
hester,NP
heffernan,NP
heart's,NN$
heart-measuring,JJ-HL
heathenish,JJ
heinzes,NPS
heavy-handed,JJ
henpecked,VBN
heat's,NN+BEZ
hermeneutics,NN
headboard,NN
headroom,NN
hereafter,RB
herald,NNP
hexameter,NN
hexametaphosphate,NN-HL
heavy,JJ
hemphill,NP
herman's,NP$
heave,VB
hemmed,VBN
hedges,NNS
herded,VBD
hetman's,NP$
hengesbach,NP
heavy-duty,JJ
heavenly,JJ-TL
hedged,VBN
heel-lotus,NP
hemorrhaging,VBG
heretics,NNS
helsq'iyokom,FW-NN
heroin,NN
hero-worshippers,NNS
herridge,NP
heroic,JJ
herter,NP
heck,NN
heavy-weight,NN
hence,RB
heartbeat,NN
heartiest,JJT
hemorrhoids,NNS
hewett,NP
hearsay,NN
heritages,NNS
hearing,NN
hez,NP
heywood,NP
heads,NNS
hedging,NN
hearse,NN
hemingway's,NP$
heady,JJ
heights,NNP
heade,NN
headwalls,NNS
hearst,NNP
headache,NN
hebephrenic,JJ
heresy,NN
herds,NNS
heart-stopping,JJ
herself,PRP
here's,RB+BEZ
hearings,NNS
hell's,NN$
herald-examiner,NP
hesitating,VBG
hessians,NPS
headlands,NNS
herrin-murphysboro-west,NP
heaviest,JJT
head,NN
headland,NN
headings,NNS
hershel,NP
hexagonal,JJ
hessian,JJ
heightening,NN
hewlett-woodmere,NP
herry,NP
hetty's,NP$
henri's,NP$
hedonistic,JJ
heal,VB
headstones,NNS
headmaster,NN
head-tossing,NN
herman,NP
heartening,JJ
hemisphere,NN
herpetologist,NN
hearst's,NP$
headquarter,NN
hen's,NN$
headlines,NNS
heavens,NNS
headline,NN
hector,NP
heartily,RB
headcount-control,NN
hearing-aid,NN
hedge,NN
heisted,VBD
helion,NP
heretic,JJ
hendry,NP
herrington,NNP
helena,NP
hersey,NP
herdin',VBG
heiser,NP
hereford,NP
hell-bound,JJ
heaped,VBN
heaters,NNS
herrick,NP
height-to-diameter,JJ
herding,VBG
heiress,NN
heng-shan,NP
hempel,NP
heidenstam's,NP$
hesitant,JJ
herford,NP
heating,NN
heretofore-accepted,JJ
heavenward,JJ
heidenstam,NP
hedison,NP
helium-4,NN
hetty,NP
heel-betty,NP
hereunto,RB
heel-beryl,NP
heorot,NP
heredity,NN
heideman,NP
headaches,NNS
hendrik,NP
heusen,NP
heterogamous,JJ
herry's,NP$
helicopter,NN
headrests,NNS
hector's,NP$-TL
hernandez,NP
hearer,NN
heiwado,NNP
hegel's,NP$
hell-fire,NN
heute,FW-NR-TL
heighten,VB
henry's,NP$
heartland,NN
hesperus',NP$
hegel,NP
hercule,NP
helper,NN
henh,UH
heroically,RB
heelers,NNS
helped,VBD
hebrew,NP
heels,NNS
hens,NNS
helmet,NN
hemus,NP
helpfully,RB
helva,NP
heartbreak,NN
hevin,HVG
hendricks,NP
heeded,VBD
henchmen,NNS
hearest,VBZ
heatwole,NP
he'll,PPS+MD
herpetology,NN
hearth,NN
herewith,RB
hearty,JJ
hearts,NNS
heaps,NNS
heavily,RB
hercules,NP
hemolytic,JJ
hess,NP
hesiometer,NN-TL
headed,VBN
hereabouts,RB
hetman,NP
hemisphere's,NN$
heavier,RBR
herculean,JJ
heidelberg,NNP
heavy-faced,JJ
hermitage,NNP
hecatomb,NN
heterozygous,JJ
helen,NP
headlining,VBG
hettie,NP
height,NN
helpful,JJ
heightened,VBN
header,NN
head-cold,NN
heed,VB
heel,NN
herons,NNS
hero's,NN$
heel-miracle,NP
hebrews,NPS-TL
hemming,VBG
headlinese,NN
hemorrhage,NN
heidegger,NP
helplessness,NN
henchman,NN
heavy-armed,JJ
heilman,NP-TL
hepatitis,NN
headlights,NNS
herringbone,NN
hectic,JJ
hellenic,JJ
hens',NNS$
headstand,NN
helpmate,NN
helpfulness,NN
heroics,NNS
heater,NN
helva's,NP$
hemingway,NP
hell-raising,NN
heedless,JJ
heat-denatured,JJ
hexen,FW-NN
heated,VBN
helion's,NP$
hev,HV
heidegger's,NP$
her,PRP$
hex,NN
hey,UH
hertz,NP
hee,NP
heenan,NP
heritage,NNP
hel,NN
hem,NN
hen,NN
heydrich,NP
hergesheimer,NP
hesitance,NN
healthful,JJ
heat,NN
hear,VB
heap,NN
hesitancy,NN
he,PRP
henrietta's,NP$
head-and-shoulders,QL
heatedly,RB
helicopter-borne,JJ
heinze,NP
heterogeneous,JJ
heel-holiday,NP
hendricks',NP$
hesitantly,RB
heigh-ho,UH
hearers,NNS
headwaters,NNS
heather,NN-TL
heitschmidt,NP
hephzibah,NP-TL
heathen,JJ
hellfire,NN-TL
heyday,NN
hero-worship,NN
hefted,VBD
hemorrhages,NNS
hewlitt,NP
healthiest,JJT
helping,VBG
herbs,NNS
heuvelmans,NP
heaven's,NN$-TL
heptachlor,NN
heroine,NN
hells,NNS
henley's,NP$
hesperus,NP
hello,UH
