term,tag
humid,JJ
hutchins,NP
hunger,NN
hustled,VBD
hunched-up,JJ
hugging,VBG
hugged,VBD
humaine,FW-JJ
human,JJ
hungary,NNP
huggins,NP
hungarian-born,JJ
huffman,NP
hustler,NN
huggings,NNS
hundredth,OD
humour,NN
hunting,VBG
hump,NP
hues,NNS
hubbub,NN
hurrays,NP
huey,NP
humanity,NN
hume,NP
hurting,VBG
humanness,NN
hungarian,JJ
hunched,VBN
huhmun,NP
hunter,NN
huddled,VBD
humanely,RB
hunted,VBN
hurling,VBG
huff,NP
huddle,NN
hundred-yen,JJ
hunt,VB
humanism,NN
humidity,NN
huh-uh,UH
hudnut,NNP
humanistic,JJ
hunk,NN
humanist,JJ
hung,VBD
husband,NN
humanly,RB
humpty,NP
humiliation,NN
humorous,JJ
humans,NNS
hurried,VBD
hush,NN
hurriedly,RB
huxley's,NP$
huntington,NNP
hubris,NN
hutment,NN
huck,NP
humor,NN
hubermann,NP
hulks,NNS
hushed,VBN
humilation,NN
hunker,VB
hurricane,NNP
huff's,NP$
husband-wife,JJ
hungary-suez,NP
hundred-odd,CD
huang-ti,NP
hunkerish,JJ
hustle,VB
husky-voiced,JJ
hull,NN
hurrying,VBG
humiliating,JJ
humanists,NNS
huts,NNS
hundreds,NNS
hunter's,NN$
hubie's,NP$
hulk,NN
hummed,VBD
hurts,VBZ
hurtled,VBD
hudson's,NP$
huskiness,NN
hurtling,VBG
hutments,NNS
hutchinson,NNP
hurley,NNP
hustlers,NNS
hundred-and-eighty-degree,JJ
humphrey,NP
huckster's,NN$
hulking,VBG
hunch,NN
hungrier,JJR
humility,NN
hughes',NP$
hurdle,NN
hubert,NP
humming,NN
hunches,NNS
husbun,NN
hunters,NNS
hudson,NNP
hurray,UH-TL
hutton,NNP
hubbell,NNP
hundred,CD
hurrah,UH-NC
huai,NP
hud,NNP
hue,NN
hummocks,NNS
husband-stealer,NN
hurlers,NNS
huntsville,NNP
hum,NN
hun,NP
hugo's,NP$
huh,UH
hurt,VBP
hut,NN
huxtable,NNP
hurl,VB
hurry,VB
huxley,NP
hummerstone,NNP
hughes,NP
humbled,VBN
huppert,NNP
humly,NN-NC
humiliated,VBN
humped,VBD
huitotoes,NPS
hubs,NNS
hunts,NNS
huckster,NN
humanitarian,JJ
hutchins',NP$
huskily,RB
huo-shan,NP
hunkered,VBN
hungry,JJ
hug,VB
hunter-killer,NN
humane,JJ
hurok,NP
hundred-and-fifty,CD
huge,JJ
hubbard,NNP
hub,NN
humanities,NNS
hugo,NNP
hugh,NP
humanize,VB
hull-first,RB
hubay,NP
huzzahs,NNS
husbandry,NN
hustling,VBG
hurdles,NNS
hultberg,NP
huntingtons,NPS
huber,NNP
humbly,RB
huston,NP
husbands,NNS
humorists,NNS
hurdled,VBN
hundred-leaf,JJ
husband's,NN$
humiliatingly,QL
hurler,NN
hubba,UH
humble,JJ
huntley,NP
huddling,VBG
hurled,VBD
hume's,NP$
husky,JJ
hubby,NN
