term,tag
imagining,VBG
impression,NN
immortalized,VBN
impersonalized,VBN
imitated,VBD
imagines,VBZ
imaginations,NNS
imprint,VB
implying,VBG
imbrium,NP-TL
impresser,NN
impaired,VBN
immaturity,NN
imagined,VBN
impending,JJ
improperly,RB
impact,NN
impetus,NN
imparts,VBZ
implementation,NN
impeding,VBG
imperfection,NN
improvement,NN
impunity,NN
immortality,NN
immature,JJ
impoverished,JJ
impiety,NN
imperturbable,JJ
improbably,RB
implausibly,RB
impervious,JJ
impacts,NNS
impaling,VBG
impulses,NNS
implicitly,RB
impinging,VBG
implore,VB
imparted,VBN
impressing,VBG
imperil,VB
imperishable,JJ
immediately,RB
imitating,VBG
immodesty,NN
immediacies,NNS
impressionists,NNS
impresario,NN
imposed,VBN
impressive,JJ
imprisoned,VBN
improbable,JJ
immoralities,NNS
imperious,JJ
imbecile,NN
imperiously,RB
immunoelectrophoresis,NN
immunization,NN
imposes,VBZ
importation,NN
implication,NN
importer,NN
immanent,JJ
imprecisely,QL
imposing,VBG
impassioned,JJ
imprisonment,NN
impede,VB
impressionistic,JJ
immigrant,NN
imply,VBP
images,NNS
impressions,NNS
impersonally,RB
immovable,JJ
importunately,RB-NC
impersonation,NN
imaginatively,RB
imitation-caning,NN
imported,VBN
imposition,NN
imperceptible,JJ
imbruing,VBG
immutable,JJ
imploring,VBG
imperfections,NNS
imperative,JJ
imputed,VBN
imperceptibly,RB
impart,VB
import,NN
imprimatur,NN
imperialists,NNS
impudence,NN
impurity-doped,JJ
impetuous,JJ
impairment,NN
importance,NN
imbibe,VB
imaginings,NNS
imminence,NN
implementing,VBG
impartation,NN-HL
imaging,NN
imagine,VB
imaginary,JJ
impulsive,JJ
impromptu,NN
implicit,JJ
improve,VB
impressionism,NP
impersonates,VBZ
improved,VBN
impenetrable,JJ
impatiently,RB
imagnation,NN
impacted,VBN
impose,VB
impelled,VBN
improves,VBZ
imitation-woodgrain,NN
impersonated,VBN
impressionist,NN
impelling,VBG
implement,VB
imprecates,VBZ
impediments,NNP
impossibly,QL
improvise,VB
implantation,NN-HL
image,NN
imitators,NNS
important-looking,JJ
improper,JJ
impolitic,JJ
improvements,NNS
imitates,VBZ
implicated,VBN
impossible,JJ
immensely,QL
impracticable,JJ
imprecations,NNS
impressed,VBN
imcomparable,JJ
impotency,NN
impatience,NN
immense,NN
imperfectly,RB
impartiality,NN
image-provoking,JJ
imperial,JJ
imitate,VB
immodest,JJ
impassively,RB
impresses,VBZ
imperiales,NPS
immune,JJ
imboden,NP
impotence,NN
improviser,NN
impudent,JJ
immorality,NN
immersion,NN
imbibed,VBN
improvising,NN
importunities,NNS
impress,VB
immigration,NN
immediate,JJ
impurities,NNS
imitative,JJ
imbroglio,NN
impulse,NN
immortal,JJ
imbalance,NN
impractical,JJ
imperiled,VBN
immigrants,NNS
impersonal,JJ
imputation,NN
imbalances,NNS
impasse,NN
impute,VB
immaculate,JJ
imperfectability,NN
impinge,VB
impassable,JJ
imitation,NN
implacable,JJ
imaginative,JJ
immoderate,JJ
impropriety,NN
improvisation,NN
imports,NNS
imperialist,NN
impair,VB
imagination,NN
imperialism,NN
impeded,VBN
impaled,VBN
imprudently,RB
imperfect,JJ
imhoff,NNP
implemented,VBN
impassive,JJ
imminent,JJ
imprisons,VBZ
imbued,VBN
imitations,NNS
impotent,JJ
immensities,NNS
imbedded,VBD
impoundments,NNS
implant,VB
improvisations,NNS
immoral,JJ
impious,JJ
immunity,NN
improvised,VBD
impeccably,QL
impartial,JJ
immersed,VBD
imprinted,VBN
imperilled,VBN
important,JJ
importantly,RB
implored,VBD
imponderable,JJ
improving,VBG
imcomplete,JJ
impeccable,JJ
imsai,NNP
immediacy,NN
impurity,NN
implements,VBZ
improvises,VBZ
immemorial,JJ
imagery,NN
implies,VBZ
immaterial,JJ
immeasurably,QL
immobility,NN
impudently,RB
implications,NNS
impatient,NN
impossibility,NN
implied,VBD
impediment,NN
immeasurable,JJ
implanted,VBN
impertinent,JJ
imprecise,JJ
immensity,NN
