term,tag
inning,NN
indians',NPS$
interspecies,JJ
incisiveness,NN
interference,NN
instincts,NNS
invariable,JJ
invent,VB
in-groups,NNS
infatuation,NN
infusion,NN
invariably,RB
intricate,JJ
integrity,NN
inexpert,JJ
inferences,NNS
instrumentally,RB
index-fund,NN
inhabited,VBN
inadvertent,JJ
insistent,JJ
inbreeding,VBG
inflected,VBN
inexhaustible,JJ
insulate,VB
intensive,JJ
invaders,NNS
infirm,JJ
infinitesimally,QL
infestations,NNS
in-plant,JJ
include,VBP
infirmary,NN
influent,JJ
indicating,VBG
ingredient,NN
intradepartmental,JJ
inciting,VBG
incurs,VBZ
infringement,NN
indubitable,JJ
ineptness,NN
induce,VB
intel,NNP
inhibiting,VBG
interconnectedness,NN
interglacial,JJ
intonaco,FW-NN
interpreting,VBG
inter-american,JJ
interpretor,NN
intellectuality,NN
incitement,NN
internally,RB
incoherent,JJ
investigator,NN
invercalt,NP
industrialization,NN
incited,VBN
incomprehensible,JJ
insufficiently,RB
intricately,QL
interlocutor,NN
indefinitely,RB
inauspicious,JJ
intangibles,NNS
intensification,NN
insuperably,QL
insubordinate,JJ
indemnity,NN
incompatibles,NNS
inspection,NN
internist's,NN$
integra,NNP
invader,NN
inviolability,NN
insignificant,JJ
industrialists,NNS
intra-state,JJ
inconsequential,JJ
instinctual,JJ
inland,NNP
incantation,NN
invaded,VBN
invention,NN
intercepted,VBD
involution,NN
infiltration,NN
incidentally,RB
investment,NN
inanimate,JJ
index,NN
indochina,NP-TL
indicator,NN
intoxicated,VBN
incompatible,JJ
investing,NN
interactions,NNS
iniquities,NNS
inconspicuous,JJ
intergovernmental,JJ
inflection,NN
indian,JJ
insomniacs,NNS
intersect,VB
indestructible,JJ
international,NNP
incoherently,RB
increasing,VBG
inertial,JJ
inducement,NN
insecure,JJ
insinuation,NN
indignities,NNS
installations,NNS
intentioned,JJ
interplanetary,JJ
inauguration,NN
involuntarily,RB
indecision,NN
incalculable,JJ
inconsiderable,JJ
intercept,NN
inherits,VBZ
insouciance,NN
ingratitude,NN
invented,VBN
interpret,VB
interposed,VBN
invitational,JJ
inhibitor,NN
incoming,JJ
indivisible,JJ
intruding,VBG
institute,NNP
involved,VBN
inspired,VBD
incriminating,VBG
inter-town,JJ
interconnected,VBN
infrequently,RB
ineffective,JJ
insulin,NN
inflecting,VBG
intrigue,NN
influx,NN
initials,NNS
invalidate,VB
indiscriminantly,RB
inference,NN
intendants,NNS
inducing,VBG
infield,NN
inflicting,VBG
indolent,JJ
indoors,RB
infest,VB
infantryman,NN
inconveniently,RB
indwelling,VBG
industrialistes,FW-NNS-TL
indigenes,FW-NNS-TL
inculcation,NN
inflections,NNS
infinitum,FW-NN
industriously,RB
invalidism,NN
insecurity,NN
indians,NPS-TL
infirmity,NN
ingleside's,NP$
inquisition,NN-TL
insult,NN
insides,NNS
interstices,NNS
incautious,JJ
indiana,NNP
injury,NN
inhaling,VBG
in-state,RB
indefensible,JJ
intently,RB
inferential,JJ
introducing,VBG
inaccessible,JJ
initiated,VBN
initial,JJ
inclined,VBN
infinitesimal,JJ
interpenetrate,VB
indenture,NN
infection,NN
indecipherable,JJ
instrumental,JJ
initiates,VBZ
internatonal,NNP
intratissue,JJ
informally,RB
interferometer,NN
intruders,NNS
inattentive,JJ
intemperance,NN
incompetents,NNS
insights,NNS
instructional,JJ
inclinations,NNS
inexperience,NN
indescribable,JJ
indecisiveness,NN
interposition,NN
insists,VBZ
installing,VBG
inflamed,VBD
inveterate,JJ
instantaneously,RB
ineffectual,JJ
incidents,NNS
instigating,VBG
install,VB
ingleside,NP-TL
incarcerated,VBN
indolence,NN
indignant,JJ
insubordination,NN
industrially,RB
india's,NP$
inscription,NN
indisposed,VBN
indisposition,NN
indulgence,NN
indigenous,JJ
indicated,VBD
ingenuity,NN
invoices,NNS
intimations,NNS
inexplicably,RB
infantry,NN
india,NNP
intake,NN
involve,VB
indicates,VBZ
indies,NPS
incremental,JJ
inviolate,JJ
intimating,VBG
intramural,JJ
indifferent,JJ
intelligible,JJ
interama,NP
influenced,VBN
intuitions,NNS
instrumental-reward,JJ
infantile,JJ
inheritance,NN
inhabitants,NNS
inundated,VBN
invulnerability,NN
innumerable,JJ
interdenominational,JJ
incisions,NNS
infringements,NNS
incipience,NN
individualistic,JJ
influences,NNS
interview,NN
instead,RB
interrogator,NN
indexers,NNS
intelligent,JJ
invitees,NNS
intended,VBD
insulator,NN
information,NN
inflationary,JJ
incompetence,NN
ind.,NNP
informs,VBZ
interlibrary,JJ
intoned,VBD
invasion,NN-TL
informants,NNS
indian's,NP$
inactivity,NN
inscrutable,JJ
interpolated,VBD
intraepithelial,JJ
interviewees,NNS
interpolations,NNS
interrupted,VBN
in-migrants,NNS
inform,VB
infidels,NNS
innuendoes,NNS
inclosed,VBN
intellectuals,NNS
invests,VBZ
inventiveness,NN
intestine,NN
infant,NN
inculcated,VBN
infested,VBN
indebted,JJ
institutional,JJ
indeed,RB
insight,NNP
inconclusive,JJ
intuition,NN
inventing,VBG
installed,VBN
intra-stellar,JJ
introductions,NNS
incapacity,NN
including,VBG
in-store,JJ
innovative,JJ
indignantly,RB
inaugural,NN
interceptor,NN
insurgence,NN
interrogated,VBN
inquiries,NNS
intra-company,JJ
industries,NNPS
inhibitory,JJ
indispensible,JJ
inlet,NN
internationally,RB
inconsistency,NN
interesting,JJ
insularity,NN
incendiaries,NNS
inflicted,VBN
inarticulate,JJ
interleukin-3,NN
insolently,RB
insubstantial,JJ
infraction,NN
inconsistencies,NNS
input/output,JJ-TL
indo-china,NP
innesfree,NP
inefficiency,NN
instantly,RB
intendant,NN
incompleteness,NN
insemination,NN
incubated,VBN
indefatigable,JJ
innermost,JJS
intimidation,NN
investigated,VBN
invitations,NNS
interclass,JJ
invading,VBG
inactivate,VB
indulge,VB
interrupt,VB
insisting,VBG
intercrisis,NN
intranasal,JJ
investor,NN
instinctively,RB
instructions,NNS
interrelationship,NN
inversion,NN
in-fighting,NN
intertitles,NNS
inheriting,VBG
installment,NN
intuitively,RB
ingbar,NP
interface,NN
intervene,VB
inconvenient,JJ
intermediary,JJ
internationalists,NNS
inequality,NN
invasions,NNS
insuperable,JJ
inordinately,QL
inherent,JJ
indolently,RB
interpolation,NN
interfering,VBG
investigators,NNS
