term,tag
isaacs,NP
island's,NN$-TL
ishii,NP
issued,VBD
is,VBZ
islam's,NP$
isaacson,NP
isabel,NP-TL
isodine,NP-TL
ishtar,NP
isothermal,JJ
isles,NNS-TL
issues,NNS
islam,NP
israeli,JJ-TL
islanders,NNS-TL
istanbul,NP
isabell,NP
isolate,VB
isolated,VBN
issuing,VBG
isocyanate-labeled,JJ
isfahan,NP
isaac,NP
istiqlal's,NP$
isomers,NNS
issue,NN
isle,NN
isotonic,JJ
isolating,VBG
israel,NNP
islandia,NP
istvan,NP
isolationistic,JJ
isopleths,NNS
isocyanate,NN
islamic,NNP
issuance,NN
istiqlal-sponsored,JJ
isolationism,NN
islamabad,NNP
isaiah,NP
isolde,NP
isotopic,JJ
isothermally,RB
isham,NP
isis,NP-TL
israelites,NPS
isabelle,NNP
issuer,NN
island,NNP
ist,FW-BEZ
istiqlal,NP
israelite,NP
isotropic,JJ
isolation,NN
islands,NNPS
israel's,NP$
issuers,NNS
isn't,BEZ*
islands',NNS$
