term,tag
jason,NP
jacobite,JJ-TL
jackie's,NP$
jabs,NNS
jane's,NP$
jawaharlal,NP
japan,NNP
jarrodsville,NP
jas.,NP
jacobs,NNP
jay,NNP
jacoby,NP
jaw,NN
jarred,VBD
jar,NN
jan,NP
jam,NN
jalopy,NN
jai,NP-TL
jag,NN
jars,NNS
jab,NN
jailed,VBN
jacqueline,NP
jacobean,JJ
janus-faced,JJ
jack's,NP$
jazz,NN
jack,NNP
jacketed,VBN
jacob,NNP
janitsch,NP
jack-an-apes,NP
jacksonville,NNP
jaguar,NNP
james',NP$
janitors',NNS$
james,NNP
jackboots,NNS
january,NNP
january's,NP$
jamaica,NNP
jaws,NNS
jaross,NP
japanese,JJ
jagged,JJ
jardin,FW-NN-TL
jackson,NNP
jagan,NP
jacchia,NP
jade-handled,JJ
jaggers',NP$
janissaries,NPS
janitor's,NN$
jamestown,NP
jacopo,NP
janet,NP
jacksonian,JJ
jazzy,JJ
jacksons,NPS
jager,NP
jackman,NP
jaunty,JJ
jangling,VBG
jakes,NN
jams,NNS
jackie,NP
jade,NN
janice,NP
jabbing,VBG
jacques,NP
jabbed,VBD
jammed,VBN
jasper,NP
jackets,NNS
java,NN
jameson,NP
ja,NN
jane,NP
jackass,NN
jana,NP
jarvis,NP
jaycees,NPS
janitors,NNS
jaded,VBN
jacky,NP
jackson's,NP$
jaggedly,RB
jabberings,NNS
janssen,NP
jan.,NNP
jamaican,NP
jannequin's,NP$
janitor,NN
jansenist,JJ
jake,NP
jalaalwalikraam,NNP
jargon,NN
james's,NP$
jails,NNS
javert,NP
jahr,FW-NNS
japs,NPS
jaffray,NNP
jannequin,NP
jacinto,NP
jacoby's,NP$
jazzmen,NNS
jackbooted,JJ
jacquelyn's,NP$
jastrow,NP
jap's,NP$
jannsen,NP
jammed-together,JJ
janis,NP
jakarta,NP
jackdaws,NNS
jack-of-all-trades,NN-TL
jaggers,NP
jacket,NN
jail,NN
jansen,NP
jaycee,NP
jawbone,NN
