term,tag
jerkings,NNS
jerome,NP
jessie,NP
jerry's,NP$
jeweler,NN
jerebohm,NP
jelke,NP
jemela,NP
jeers,VBZ
jensen,NP
jerk,VB
jeepers,UH-TL
jerking,VBG
jerked,VBD
jeroboams,NPS
jersey's,NP$-TL
jesting,VBG
jerritts,NNP
jeannie,NP
jellinek's,NP$
jewett,NP
jew-haters,NNS
jeffersonians,NPS
jew-as-enemy,NN
jenrette,NNP
jews,NNS
jeffrey,NNP
jennifer,NP
jellies,NNS
jessica's,NP$
jed's,NP$
jessica,NP
jet-black,NN
jefferson's,NP$
jeremy,NNP
jewelry,NN
jeweler's,NN$
jeopardy,NN
jean-paul,NP
jetting,VBG
jennie's,NP$
jenks,NP
jesuits,NPS
jeremiah,NP
jedec,NN
jewelled,JJ
jennings,NP
jeopardizing,VBG
jennie,NP
jets,NNS
je,FW-PPSS
jetliners,NNS
jeep,NN-TL
jerebohms,NPS
jelly,NN
jersey,NNP
jeff,NP
jens,NP
jee-sus,UH
jeans,NNS
jewish-gentile,JJ
jesus,NP
jena,NP
jerusalem,UH
jeunes,FW-JJ
jesus's,NP$
jeb,NP
jew,NP
jet,NN
jealousy,NN
jerks,NNS
jed,NP
jerky,JJ
jen,NP
jeffersonian,JJ
jesuit,NP
jewish,JJ
jealousies,NNS
jejunum,NN
jeweled,JJ
jersey-based,JJ
jewishness,NN
jervis,NP-TL
jewel-bright,JJ
jenkins's,NP$
jellyby,NP
jehovah,NP
jessy,NP
jenny,NP
jewels,NNS
jess,NP
jenni,NP
jest,NN
jerez,NP
jesse,NP
jealously,RB
jeroboam,NP
jean-marie,NP
jeopardize,VB
jerry,NNP
jean-honore,NP
jefferson,NNP
jenkins,NNP
jean-pierre,NP
jesus',NP$
jenny's,NP$
jehovah's,NP$-TL
jennison,NNP
jealous,JJ
jews',NPS$
jewel,NN
jenni's,NP$
jean,NP
jew-baiter,NN
jess's,NP$
