term,tag
josephus,NP
journeys,NNS
jones-imboden,NP
joanne,NNP
jock,NP
jose,NP
jocose,JJ
jones's,NP$
jolt,NN
john-and-linda,NPS
journalese,NN
johnson's,NP$
joss,NN
jody,NP
joyful,JJ
joyride,NN
joint,JJ
joins,VBZ
jolliffe,NP
join,VB
jockeying,VBG
jorda's,NP$
joked,VBD
jorda,NP
joel,NNP
journalism,NN
joined,VBD
jollying,VBG
journal-bulletin,NP
jokes,NNS
joel's,NP$
journalist,NN
joiner,NN
joneses,NPS
joey,NP
jonathan's,NP$
journalistic,JJ
joking,VBG
joseph's,NP$
jot,NN
job-,NN
joan,NP
jobs-tears,NNS
jordon,NP
jouvet,NP
jocular,JJ
jolly,JJ
johnnie's,NP$
jolla,NP
joint-venture,JJ
jonesborough,NP
joiners,NNS
jobs,NNS
jocularly,RB
joy,NN
journal,NNP
jonquieres,NP
johns-manville,NP-TL
jointly,RB
jolts,NNS
jovian,JJ
job,NN
jovial,JJ
jonas,NNP
joe,NNP
jones',NP$
jockeys,NNS
jon,NNP
jobless,JJ
journeyed,VBD
joke,NN
jokers,NNS
johnnie,NP
jotted,VBN
jo,NP
joshual,NP
joplin,NP
john's,NP$-TL
joshua,NP
johns,NNP
johann,NP
jowls,NNS
joyce,NP
jockey,NN
jowl,NN
jossy,NP
joaquin,NP-TL
joseph,NNP
jonathan,NNP
jovanovich,NNP
journalists,NNS
jorge,NP
john'll,NP+MD
joust,NN
jordan,NP
johansen,NP
josiah,NP
john,NNP
joblot,NN
joyfully,RB
joie,FW-NN
john-henry,NP
jonquils,NNS
johnson-era,NN
johnny,NNP
joyous,JJ
joints,NNS
journal-american,NP
joviality,NN
jour,FW-NN
jolting,VBG
journey's,NN$
job-seekers,NNS
journal-bulletin's,NP$
jotting,VBG
johannesburg,NP
jostle,VBP
joblessness,NN-HL
joni,NNP
joyously,RB
jocund,JJ
josef,NP
journey,NN
johnston,NP
joe's,NP$
journals,NNPS
jones,NNP
johnson,NNP
jogs,VBZ
joys,NNS
joan's,NP$
joining,VBG
