term,tag
jurisdictions,NNS
justinian,NP
junk-bond,NN
just,RB
jurisdiction,NN
judiciously,RB
judgeship,NN
junior's,NN$-TL
jumbled,VBN
judges,NNS
judgments,NNS
justice,NNP
justitia,FW-NN
jules,NP
julep,NN
judged,VBN
justices,NNS
judge-made,JJ
julie,NP
juke,NN
jutting,VBG
junction,NN-TL
juniors',NNS$-TL
judiciary,NNP
judgement,NN-TL
juleps,NNS
judge,NNP
junketeering,VBG
judaism,NP
juet,NP
juxtaposition,NN
juror,NN
judson,NP
jutish,JJ
jurisdictional,JJ
junkerdom,NP
juanita's,NP$
jump,VB
jupiter,NP
juggling,VBG
juliet,NP-TL
junks,VBZ
juniors,NNS-TL
jurisprudence,NN
jumped,VBD
jubilantly,RB
juggernaut,NN
judicious,JJ
justified,VBN
jurist,NN
judith,NNP
jumper,NN
jumpy,JJ
justification,NN
jury,NN
junkies,NNS
jurisprudentially,RB
jumps,NNS
juju,NN
jubal,NP
jure,FW-NN
judea,NP
jubilant,JJ
juiciest,JJT
jungian,JJ
juste,FW-JJ
jungles,NNS
junkers,NPS
juras,NP
julio,NP
jurists,NNS
juries,NNS
justine,NP
julia,NNP
juncture,NN
judeo-christian,JJ
judge's,NN$
jurors,NNS
jugglers,NNS
justifying,VBG
judgements,NNS
junctures,NNS
judging,VBG
junior-senior,JJ
justly,RB
jug,NN
judsons,NPS
judges',NNS$
juxtaposed,VBN
jubilation,NN
jury-tampering,NN
july,NNP
junior,JJ
julius,NP
judicial,NNP
junior-philosophical,JJ
jude,NP-TL
judy,NP
judiciaries,NNS
juvenile,JJ
juggle,VB
julian,NP
justness,NN
juicy,JJ
juice,NN
jussel,NP
justifications,NNS
juet's,NP$
jumble,NN
juanita,NP
juan,NP
justifiable,JJ
junta,NN
justifiably,RB
judas,NP
junk,NN
justice's,NN$-TL
junior-grade,JJ
juices,NNS
june,NNP
judie,NNP
jumping,VBG
judgment,NN
jubal's,NP$
junior-year-abroad,JJ
judah,NNP
jungle,NN
juridical,JJ
justify,VB
