term,tag
kelley's,NP$
keating's,NP$
keyboard,NN
keith's,NP$
kekisheva,NP
kennings,NNS
ketches,NNS
keeler,NP
kenzo,NP
kercheval,NP
kendrick,NNP
kershbaum,NP
kemble,NP
ketchup,NN
keenest,JJT
keenly,RB
kennedy,NNP
keyboards,NNS
kerr,NP
keyed,VBN
kern,NP
key-punched,VBN
keeshond,NP
kellum,NP
kestner,NP
keerist,UH
kennel,NN-TL
keene,NP
kernel,NN
keizer,NP
kenilworth,NP
keng,NP
kettle,NN
kensington,NNP
keno,NN
kennedy's,NP$
kennard,NP
keystone,NN-TL
kent,NNP
kentfield,NP
keo,NP
ken,NP
keynote,VB
kel,NP
keening,NN
ketosis,NN
keg,NN
kearny,NNP
kelsey,NP
kedgeree,NN-HL
keddah,FW-NN
key,JJ
keeper,NN
keith,NNP
keats's,NP$
kemm,NP
keelson,NN
keep,VB
keen,JJ
kerygma,NN
kearton,NP
kemble's,NP$
kedzie,NP-TL
kerby,NP
kerensky,NNP
kemchenjunga,NP
keidanren,NNP
kernels,NNS
kehl,NP
kee-reist,UH
kentuck',NP
kelp,NN
kerry,NP-TL
kerosene,NN
keyhole,NN
kegs,NNS
kenyon,NP
kerchief,NN
keeping,VBG
kennan,NP
kerr's,NP$
kentucky,NNP
kenning,NN
keyboarding,NN
ketchum,NNP
keine,FW-AT
kenny,NP
kegham,NP
kenneth,NNP
kezziah,NP
kepler,NP
keegan,NP
kennett,NP-TL
keeeerist,UH
kennan's,NP$
kebob,NN
kelseyville,NP
keel,VB
keys,NNS
kegful,NN
kean,NNP
kept,VBD
kerrville,NP
kelli,NNP
kelts,NPS-TL
keehn,NNP
keynotes,NNS-TL
keeps,VBZ
kelly,NP
kempe,NP
keane,NP
keys's,NP$
