term,tag
knots,NNS
knob,NN
knightfall,NP
knoxville,NP
kneels,VBZ
knot,NN
knife-men,NNS
knott,NN
knowledgeable,JJ
knotted,VBN
knocking,VBG
knelt,VBD
knowingly,RB
knife/coating,NN
knick-knacks,NNS
knee-type,JJ
knell,NN
knee,NN
knight-errantry,NN
knecht,NP
knowlton,NP
knickerbocker,NP
kneeling,VBG
knee-length,JJ
knee-deep,RB
knees,NNS
knuckles,NNS
knappertsbusch,NP
kneecap,NN
knowledge,NN
knife-edge,NN
knead,VB
knife-grinder,NN-TL
know-nothing,JJ-TL
knifelike,JJ
know-nothings,NPS
knuckle,NN
knuckled,VBD
knoll,NN
knobs,NNS
knuckle-duster,NN
knowlton's,NP$
knife,NN
knowing,VBG
knot-tying,JJ
knightes,NNS
knitting,VBG
knows,VBZ
knobby-knuckled,JJ
knoe,VB
knew,VBD
knowns,NNS
knock-down,JJ
knockdown,NN
know-how,NN
know,VBP
knauer,NP
knotty,JJ
known,VBN
knocks,VBZ
knox,NP
knack,NN
knit,VBN
knill's,NP$
kneeled,VBD
knowed,VBN
knock,VB
knackwurst,NN
knoweth,VBZ
knopf,NNP
knite,VBN
knight,NN
knitted,VBN
knightly,JJ
knuckleball,NN
knives,NNS
kneel,VB
knife's,NN$-TL
knapp,NNP
knocked,VBD
knights,NNS
knight-errant,NN
