term,tag
kopstein,NP
kob,NNS
kornbluth,NP
konga,NN
kofanes,NPS
kokoschka,NP
kohi,NP
kosher,JJ
kowalski's,NP$
kooning,NP
komleva,NP
konrad,NP
kolb,NP
koop,NP
kola,NN
korngold,NP
kobe,NNP
kotowaza,FW-NN
kobayashi,NP
kowalski,NP
korman,NP
konstantin,NP
kornevey,NP
kochanek,NP
koenig,NP
koan,FW-NN
kolkhozes,FW-NNS
kombo,NP
koehler,NP
komatsu,NNP
kodyke,NP
kornbluth's,NP$
kodama,NP
korean,JJ-TL
koito,NNP
koizumi,NNP
koreans,NPS
korea,NNP
kool-aid,NP
korneyeva,NP
kodaks,NPS
kok,NP
konitz,NP
kolpakova,NP
korneyev,NP
kozintsev,NP
koch,NP
kohnstamm-positive,JJ
kong,NNP
kooks,NPS
kodansha,NNP
kohnstamm,NP
koussevitzky's,NP$
komurasaki,NP
konzerthaus,FW-NN-TL
korra,NP
koenigsberg,NP
koinonia,FW-NN
kolkhoz,FW-NN
kochaneks,NPS
kondo,NNP
kohnstamm-negative,JJ
kodiak,NP
konishi,NP
koshare,NP
koh,NP
koussevitzky,NP
