term,tag
levers,NNS
leaped,VBD
lenygon's,NP$
letch's,NP$
leads,VBZ
legacies,NNS
legato,NN
ledger,NN
lesourd,NP
legislators,NNS
leggings,NNS
leathered,VBD
level,NNP
leveled,VBN
levee,NN
leave,VBP
lesbians,NNS
less-than-brilliant,JJ
lever,NP
less-dramatic,JJ
legalized,VBN
leaders,NNS
lecturing,VBG
lengthened,VBD
leeds',NP$
leakage,NN
letter-writing,JJ
lehman,NNP
leavin',VBG
learned,VBD
legations,NNS
led,VBD
lee,NNP
leg,NN
leveraging,VBG
leaning,VBG
leaping,VBG
len,NN
leo,NNP
les,FW-AT
leeds,NP-TL
lev,NP
lew,NP
lex,FW-NN
legend,NNP
leitmotiv,NN
leveling,VBG
leaves,VBZ
leavenworth,NP
leaving,VBG
leadership,NN
lewisohn,NP-TL
leninism-marxism,NP
leavitt,NP
lending,VBG
letitia,NP
less-serious,JJ
leguminous,JJ
letterhead,NN
legislator,NN
lessening,VBG
leaks,NNS
leyden,NP
leaky,JJ
lessened,VBN
lennie,NP
left-centerfield,NN
leonard,NP
leming,NNP
leavened,JJ
lemons,NNS
leary,NP
leadings,NNS
lefthander,NN
learn,VB
legislate,VB
lendrum,NP
leverett,NP
ledges,NNS
leila,NP
leaguers,NNS-TL
let's-make-your-house-our-club,JJ
lesions,NNS
leesona's,NP$
lessing,NP
levy,VB
leavin,VBG
lesion,NN
leasure,NN
leukemia,NN
legality,NN
lenygon,NP
lecher,NN
leroy,NNP
lemmas,NNS
ledoux,NP
leprae,NN
lenobel's,NP$
leisurely,RB
leftfield,NN
leigh,NNP
lester's,NP$
less-developed,JJ
lewdly,RB
leibowitz,NP-TL
leale,NP
lewis',NP$
le,DT
leningrad's,NP$-TL
lethality,NN
leggy,JJ
legendary,JJ
leopards,NNS
lexicostatistics,NN
legume,NN
leesona-holt,NP-TL
leaned,VBD
leesona,NP
legions,NNS
leyte,NP
lesser-known,JJ
leningrad-kirov,NP-TL
lebensraum,NN
lew's,NP$
level's,NN+BEZ
lecture,NN
learners,NNS
length,NN
leapt,VBD
leading,VBG
leonore,NP-TL
lexicostatistic,JJ
league's,NN$-TL
leighton,NNP
lethargy,NN
legislative,JJ
leverage,NN
lengthily,RB
least,JJS
legg,NNP
leash,NN
legally,RB
legs,NNS
lease,VB
lean-to,NN
legatee,NN
leggett,NP
less-indomitable,JJ
ledford,NP
leg's,NN+BEZ
legibility,NN
left-handed,RB
leverkuhn,NP
leafy,JJ
levelled,VBN
leather-bound,JJ
lefcourt,NNP
lewis's,NP$
lecturer,NN
lectures,NNS
lectured,VBD
leg-split,NN
lerner,NP
leafiest,JJT
leopard's,NN$-TL
leavening,NN
leaflet,NN
leinonen,NNP
leonato,NP
left-of-center,JJ
leaguer,NN
lexicon,NN
lescaut,NP-TL
leaderless,JJ
lewis,NNP
legislature's,NN$
lengthwise,JJ
lettered,VBD
lethal,JJ
lessons,NNS
lethargies,NNS
lewellyn,NP
lemma,NN-TL-HL
lemme,VB+PPO
lewelleyn,NP
lehmann,NP
leased,VBN
leisure,NN
levi-clad,JJ
legitimate,JJ
lenders,NNS
leases,NNS
leamington,NP
leather,NN
lexington,NP
levin,NP
leader's,NN$
lettering,VBG
leasing,NN
levinger's,NP$
lemonade,NN
legacy,NN
leslie,NP
learns,VBZ
lexical,JJ
leashes,NNS
leavings,NNS
legitimacy,NN
lefthanders,NNS
leitmotif,NN
legislature,NN
league,NN-TL
less-traveled,JJ
let,VB
lenses,NNS
leon,NNP
learning,NNP
legation's,NN$
lehner,NP
lettermen,NNS
lentjes,NNP
lebanese,NPS
leatherman,NP
legislating,VBG
lessen,VB
lesser,JJR
leprosy,NN
levittown,NP
leland,NP
levies,NNS
leans,VBZ
legislation-delaying,JJ
levied,VBN
leopold's,NP$
lever-action,NN
leafhopper,NN
lengthy,JJ
leaches,NNS
lengths,NNS
leafed,VBD
ledgers,NNS
lengthening,VBG
lenient,JJ
less-hurried,JJ
leftist,NN
leger,NP
levels,NNS
leaps,VBZ
lemon-meringue,NN
legers,NPS
leona,NP
leone,NP
left,VBN
lest,CS
leagues,NNS
letterman,NN
less,JJR
lester,NP
leeway,NN
leagued,VBN
letting,VBG
legitimately,RB
legion,NN
lender,NN
lets,VBZ
leering,VBG
level-headed,JJ
lengthen,VBP
leapfrog,NN
left-hand,NN
lettin',VBG
lends,VBZ
lenin,NP
lemuel,NP
leningrad,NNP
left-front,NN
lebanon,NNP
legislated,VBN
leery,JJ
lentils,NNS
leaden,JJ
leather-hard,JJ
leaf,NN
lead,VBP
leak,NN
leveraged,JJ
leaded,JJ
lean,JJ
leered,VBD
legal,JJ
lear,NP-TL
leap,NN
ledyard,NP
lenin's,NP$
levitation,NN
leader,NN
leatherneck,NP
lessens,VBZ
lefty,NN-TL
leadsman,NN
leopold,NP
let's,VB+PPO
lezovich,NNP
leave-taking,NN
letters,NNS
less-than-carload,JJ
legged,JJ
legitimized,VBN
lesson,NN
lewd,JJ
legends,NNS
legislation,NN
let-down,NN
letter,NN
lecky,NP
leiden,NP
legation,NN
leopoldville,NP
leclair,NP
lee's,NP$
lenny,NP
levis,NNS
leathers,NNS
leathery,JJ
leaked,VBN
levitt,NP
levity,NN
letch,NP
leet,NP
lemon,NN
lees,NP
leavitt's,NP$
leafmold,NN
ledge,NN
lena,NP
lend,VB
leni,NP
leonato's,NP$
lens,NN
left-justified,VBN
lent,VBD
lend-lease,JJ
leaflets,NNS
legislatures,NNS
