term,tag
logarithms,NNS
looped,VBD
lopped,VBD
long-cruise,NN
low-duty,NN
low-temperature,NN
lob-scuse,NN
long-run,NN
long-bodied,JJ
localized,VBN
longfellow's,NP$
longstanding,JJ
look-see,NN
lore,NN
lord,NNP
low-boiling,JJ
low-budget,NN
low-key,NN
louis,NNP
loneliness,NN
loads,NNS
locomotive,NN
logistics,NN
longfellow,NP
loose-knit,JJ
louder,JJR
loathing,VBG
lower-priced,JJ
low-moisture,NN
lockheed's,NP$
loafed,VBD
long-familiar,JJ
london-based,JJ
low-ball,JJ
lolly,NP
longshoremen,NNS
loose,JJ
lobbyist,NN
long-known,JJ
losses,NNS
loincloth,NN
lonesome,JJ
looted,VBD
lowers,NNS
love,VB
lord's,NP$
long-overdue,JJ
loveless,NP
logical,JJ
logically,RB
loquacity,NN
lodging,VBG
lottery,NN
lodgment,NN
loving,VBG
love's,NN$
lowering,VBG
locker-room,NN
lopsidedly,RB
long-far,JJ+JJ-NC
log-house,NN
lowliest,JJT
logarithm,NN
lond.,NP
locked,VBN
location-minded,JJ
longitude,NN
locker,NN
lower-class,NN
lords,NNS
loosen,VB
london's,NP$
lock,VBP
lombard,NP-TL
lobscouse,NN
locks,NNS
lorde,NN-TL
lothario,NP
lopatnikoff's,NP$
located,VBN
louisville,NNP
loaves,NNS
london-bred,JJ
long-view,NN
loyalty,NN
lousie,JJ-TL
lowe's,NP$
long-range,NN
loyalists,NNS
lordly,JJ
longhand,NN
lovingood,NP
logan,NP
lower-middle,JJ
london,NNP
looks,VBZ
lovelies,NNS
looky,VB
lounge,NN
longitudinal,JJ
lo,NP
loophole,NN
lookout,NN-TL
lowell,NP-TL
lonely,JJ
loose-jointed,JJ
lois,NP
lonski,NNP
loose-jowled,JJ
long-hair,NN
lorena,NP
loosely,RB
lorenz,NP
lower-paid,JJR
loosli,NP
loyalties,NNS
lofty,JJ
louisiana-pacific,NNP
lobbies,NNS
logs,NNS
low-pass,NN
low-wage,NN
lobbied,VBN
loops,NNS
logo,NN
lola,NP
loquacious,JJ
longhorns,NNS
long-haul,NN
looking,VBG
longtime,NN
lower-middle-class,NN
low-tension,NN
low-tech,JJ
localization,NN
loomed,VBD
loused,VBD
looseness,NN
logging,VBG
low-calorie,NN
louse,NN
lotions,NNS
lousy,JJ
loud,JJ
longue,NP
longed-for,JJ
lovelace,NP
lobule,NN
loose-loaded,JJ
lovers',NNS$
lovable,JJ
lolotte,NP
long,JJ
lovering,NP
loadings,NNS
louvre,NP
long-awaited,JJ
loaders,NNS
lobbyists,NNS
long-vanished,JJ
louchheim,NP
lorca,NP
lovejoy's,NP$-TL
lower-status,NN
love-in-action,NN
low-ability,JJ
longer-term,JJ
loved,VBD
loy,NP
looting,VBG
log-jam,NN
loves,VBZ
lover,NN
long-sought,JJ
lovelorn,JJ
longs,VBZ
longitudes,NNS
locations,NNS
londoner,NP
low-heeled,JJ
louis's,NP$
localities,NNS
lope,NN
loesser,NP
loneliest,JJT
long-life,NN
looming,VBG
long-,JJ
loopholes,NNS
loners,NNS
locust,NN
looked,VBN
lodowick,NP
lordship,NN
loire,NP-TL
lotus,NN
londonderry,NP-TL
longevity,NN
lorlyn,NP
low-sudsing,JJ
lowlands,NNS
lolling,VBG
louisa,NP
louise,NP
lovejoy,NP
lorenzo,NNP
lodge,NN-TL
longhorn,NN
local,JJ
long-settled,JJ
locatin',VBG
lobl,NP
lobo,NNP
low-foam,NN
lobe,NN
lovingly,RB
loath,JJ
longest,JJS
louis',NP$
loews,NNP
losers,NNS
logistic,JJ
locating,VBG
loveliness,NN
locale,NN
longer-lived,JJR
long-shanked,JJ
lotter,NN
loudspeaker,NN
lots,NNS
loud-voiced,JJ
low-speed,NN
longwood,NNP
loped,VBD
lotion,NN
loper,NP
loveways,NNS-TL
lopez,NP
lookit,VB+IN
lowell's,NP$
lobsenz,NNP
loudly,RB
logic,NN
long-term,JJ
loudon's,NP$
longshot,NN
lobster-backed,JJ
load,VB
long-sleeved,JJ
loaf,NN
longinotti,NP
loan,NN
loose-leaf,NN
loader,NN
lowly,JJ
loaded,VBN
lohmans,NPS
longsuffering,JJ
lonsdale's,NP$
locally,RB
localisms,NNS
lobular,JJ
lorrain,NP
louisiane,NP-TL
lovely,JJ
louisiana,NNP
low-frequency,NN
logic-rhetoric,NN
lockup,NN
loft,NN
long-keeping,JJ
low-priced,JJ
low-ceilinged,JJ
logjam,NN
low-water,NN
locomotives,NNS
locales,NNS
loon,NN
loom,VBP
look,VBP
loathed,VBD
loesser's,NP$
lorillard,NN
loosest,JJT
loot,NN
loop,NN
love-making,NN
lodges,NNS
loosely-taped,JJ
lodged,VBD
loosened,VBD
lottie,NP
loomis,NP
long-line,NN
locking,VBG
lockian,JJ
locke's,NP$
lovin,VBG
lobby,NN
longing,VBG
lower,JJR
loblolly,NN
loathsome,JJ
lonelier,JJR
loosens,VBZ
loen,NP
loeb,NP
longish,JJ
lobules,NNS
long-chain,NN
localize,VB
low-level,NN
lower-cut,JJR
loading,VBG
logged,VBN
location,NN
low-altitude,NN
logger,NN
lower-level,NN
lovie,NN
long-acting,JJ
low-grade,NN
loaned,VBN
loss,NN
lost,VBN
low-down,NN
loser,NN
loses,VBZ
lousiness,NN
lose,VB
long-endurance,NN
loyalist,NN-TL
low-class,NN
lobster,NN
lotte,NP
loveliest,JJS
lobar,JJ-TL
lorraine,NP
loins,NNS
louisianan,NP
loudspeakers,NNS
locate,VB
lounged,VBD
loudest,JJS
lounges,NNS
losing,VBG
lockies,NPS
lookee-loos,NNS
lockheed,NP
loans,NNS
louvers,NNS
lorain,NNP
longshoremen's,NNS$
logistical,JJ
long-lived,JJ
low-cost,JJ
locus,NN
loin,NN
low-power,NN
low-pitched,JJ
loeser,NP
lower-priority,JJ
lob,VB
loc,NN
log,VB
lone,JJ
lovett,NNP
lounging,VBG
los,NNP
lop,JJ
