term,tag
magnetically,RB
mardi,NP
managed,VBN
matron,NN
magnetic,JJ
maxine,NP
many-times,NNS
manager,NN
mathewson,NP-TL
marion,NNP
marbleizing,VBG
mansion,NN
manipulations,NNS
magnifying,VBG
marching,VBG
marenzio,NP
maclellan,NNP
mathias',NP$
marcos,NP
mayfair,NP-TL
mackintosh,NN
marchand,NNP
masculine,JJ
marks,NNS
management-trained,JJ
maryland,NNP
mackerel,NN
masculinity,NN
madison's,NP$
mains,NNS
macassar,NP
marimba,NN
mastering,VBG
margarito,NP
mania,NN
mauve,JJ
macgregors,NP
maladjusted,JJ
manin,NP
materialism,NN
materialize,VBP
mashing,VBG
magic,NN
mammas,NNS
marry,VB
mackinaw,NN
mann's,NP$
magnet,NN
manages,VBZ
macedon,NP
match-width,NN
manifestly,RB
manchester,NNP
magdalene,NP
machine-gun,NN
maht,MD
manslaughter,NN
maggie,NP
manliness,NN
magnums,NNS
matching-fund,NN
martha's,NP$-TL
maximization,NN
malice,NN
matunuck,NP
marilyn,NP
masson,NP
marinade,NN
manipulating,VBG
maximizes,VBZ
makers,NNS
machines,NNPS
majors,NNS
machine-masters,NNS
matsuo's,NP$
manufacturer's,NN$
magnolia,NN
marketed,VBN
macroscopically,RB
malleable,JJ
man's,NN$
manikins,NNS
macneff,NP
market-place,NN
marketing,NN
majesties,NNS-TL
maverick,NN
marketer,NN
material-formal,JJ
manually,RB
malaria,NN
martians,NPS
mammal,NN
madden's,NP$
mailings,NNS
makeup,NN
marksman's,NN$
mayoral,JJ
magnetism,NN
many-much,AP+AP-NC
marring,VBG
marketers,NNS
martingale,NN
manhattan's,NP$
malevolencies,NNS
machinist,NN
maguire,NP
many-faced,JJ
matsuo,NP
mannerism,NN
maneuverability,NN
material's,NN$
mainstream,NN
market-makers,NNS
mawr,NP-TL
manningham,NP
maget,NN
makes,VBZ
maker,NN
massage,NN
macintosh,NP
matrimonial,JJ
malignancy,NN
macwhorter,NP
maughan,NNP
marginal,JJ
manage,VBP
marriages,NNS
marvelous,JJ
manny,NP
markey,NNP
manning's,NP$
matthews,NNP
marker,NN
marder,NNP
magician's,NN$
market,NN
marauders,NNS
main-d'oeuvre,FW-NN-TL
marcel's,NP$
magoun,NP
maroc,NP
