term,tag
mcfarlan,NNP
mckellar,NP-TL
mccormick,NNP
mc.,NNS
mcglynn,NP
mcgraw-hill,NNP
mccloy's,NP$
mcauley,NNP
mccrady,NP
mcgruder,NP
mcfee,NP
mcroberts,NP
mcclellan,NP
mcfall,NNP
mccay,NP
mccauley,NP
mckenna,NP
mccone,NP
mckinley's,NP$
mcfeeley,NP
mcwhinney,NP
mckenzie,NP
mcdermott,NNP
mcleod,NNP
mccabe,NNP
mclendon,NP
mcneil,NP-TL
mcnear,NP
mccullers,NP
mcconnell,NP
mccarthy,NP
mckee,NP
mcauliffe,NP
mcnamara,NP
mcelvaney,NP-TL
mcnaughton,NP
mccluskey,NP
mckinley,NP
mcgehee,NP
mccloy,NP
mccormack,NP-HL
mckinney,NP
mcghie,NP
mcalester,NP
mclendon-ebony,NP
mc/sec,NN
mclish,NP
mciver,NP
mcintosh,NP
mcgovern,NNP
mcbride,NP
mcpherson's,NP$
mcconnell's,NP$
mcgeorge,NP
mcmillin,NNP
mclauchlin,NP
mcsorley's,NP$-TL
mcdonnell,NP
mceachern,NP
mcpherson,NP
mccarthy's,NP$
mcguigan,NNP
mcnair,NP
mcdaniel,NP
mcquillan,NP
mccracken,NP
mccone's,NP$
mcn.,NP
mcalpine,NNP
mcneill,NP
mcdonald,NNP
mcelyee,NP
mcfarland,NP
mclemore,NP
mccullough,NP
mcgovern's,NP$-TL
mccafferty,NP
mcintyre,NP
mcclellan's,NP$
mcenroe's,NP$
mcfeely,NP
mcalister,NP
