term,tag
nicknames,NNS
nikita,NP
ninth,JJ
nicknamed,VBN
nitrogen,NN
nigel,NNP
nicolas,NP
nilpotent,JJ
nicodemus,NP
nikko,NP
nimbler,JJR
nickels,NNS
nibblers,NNS
nihilist,NN
nightclubs,NNS
nischwitz,NP
nichols,NP
nighted,JJ
niches,NNS
night's,NN$
nicely,RB
nissan,NNP
nightshirt,NN
nise,JJ
niobe,NP
nigger,NN
nine-to-five,JJ
nisf-i-jahan,FW-NN-NC
night,NN
nightingale,NN
ninety-eight,CD
niceties,NNS
ninetieth,OD
nineties,NNS
nigh,RB
nikkei,NNP
nibble,NP
nilsen,NP
nicaragua,NP
nigs,NNS
nightmare,NN
nicklaus,NP
night-coach,NN
nickel-iron,NN
nitrate,NN
nicest,JJT
nicholas,NNP
night-sight,NN
nightdress,NN
niche,NN
nicaraguan,JJ
ninety-nine,CD
nicolas's,NP$
nimbly,RB
nightmares,NNS
nishima,NP
nightfall,NN
nightmarish,JJ
nixon's,NP$
nishimo,NP
nichtige,FW-NN-TL
nitroglycerine,NN
niebuhr,NP
nibelungenlied,NP-TL
nineveh,NP
nile,NP
nightclub,NN
niggers,NNS
nih-appointed,JJ
nixon,NNP
niccolo,NP
nightclub's,NN$
nicotine-choked,JJ
ninety,CD
nilly,RB
niger,NP
nick's,NP$
nicole,NNP
nitrates,NNS
nippon,NNP
nipe's,NP$
nissho-iwai,NNP
nigeria,NP
nietzsche,NP
nickel,NN
nieman,NP
nilsson,NP
nine-chambered,JJ
nicked,VBN
nigras,NNS
nihilistic,JJ
nibs',NN$
nineteen,CD
nine-year,JJ
nine-thirty,CD
nipponese,JJ
nieces,NNS
nischwitz',NP$
nina,NP
nine,CD
ninety-six,CD
nikolai,NP
nicer,JJR
nineteen-year-old,JJ
nicholson,NP
nielsen,NNP
niagara,NP-TL
ninety-five,CD
nike-zeus,NP
nine-month,JJ
nitrogen-mustard,NN
nipples,NNS
nights,NNS
nightingales,NNS
nihilism,NN
nick,NP
niggertown,NP
nikolais,NP
niece,NN
nine-game,JJ
nighters,NNS
nips,NNS
niepce,NP
nice,JJ
nineteen-sixty,CD
nih,NNP
niven,NP
nil,NN
nichol,NNP
nightly,RB
nijinsky,NP
nip,NN
nickname,NN
nipped,VBD
nirvana,NN
nine-state,JJ
night-watchman,NN
nighttime,RB
nineteenth-century,NN
nippur,NP
nilson,NNP
nineteenth,OD
nine-member,JJ
nice-looking,JJ
