term,tag
obligations,NNS
oblique,JJ
obtain,VB
objectionable,JJ
obligational,JJ
obediences,NNS
obsequious,JJ
observer's,NN$
observational,JJ
objector,NN
obedience-trained,JJ
obsoleting,VBG
obedient,JJ
obliterated,VBN
obeyed,VBD
obligingly,RB
obliterate,VB
objectiveness,NN
oblivion,NN
obesity,NN
obscenities,NNS
obligated,VBN
obstruct,VB
obtaine,VB
observance,NN
observer,NN
observes,VBZ
obliged,VBN
obsolete,JJ
observed,VBD
obsession,NN
obviousness,NN
obstructionist,NN
objected,VBD
obscurities,NNS
objectivity,NN
obsessive,JJ
oblong,JJ
obey,VB
obtrudes,VBZ
observant,JJ
obscures,VBZ
obituaries,NNS
oberlin,NP
obliteration,NN
obscured,VBN
observing,VBG
obscure,JJ
obtained,VBN
observable,JJ
obe,NP
obsolescent,JJ
objects,NNS
obeys,VBZ
obscenity,NN
obscurity,NN
obtaining,VBG
obscene,JJ
objectively,RB
oblivious,JJ
obligation,NN
obscurely,RB
obliterans,FW-VBG-TL
obsessions,NNS
objectives,NNS
obedience,NN
obtainable,JJ
observations,NNS
obstinate,JJ
obelisk,NN
observers,NNS
observances,NNS
observe,VB
obstructed,VBN
objections,NNS
obsequies,NNS
objectification,NN
observatory,NN-TL
obsessive-compulsive,JJ
oboist,NN
obvious,JJ
obeying,VBG
obliquely,RB
objectors,NNS
obstacle,NN
obnoxious,JJ
objection,NN
obverse,NN
objective,NN
objets,FW-NNS
obsessed,VBN
oblige,NN
object,NN
obsesses,VBZ
obtrusiveness,NN
objecting,VBG
observation,NN
obstacles,NNS
obviously,RB
obsidian,NN
