term,tag
officers',NNS$
offending,VBG
often,RB
office,NN
off-color,JJ
off-road,JJ
officielle,FW-JJ-TL
offenbach's,NP$
offerings,NNS
offences,NNS
officiated,VBD
officials,NNS
off-flavor,NN
off-off,JJ
offense,NN
oftener,RBR
offspring,NNS
offenses,NNS
offsetting,VBG
off-flavors,NNS
officious,JJ
officer's,NN$
off-the-cuff,JJ
offensive,NN
officers,NNS
offutt,NP-TL
offers,VBZ
officered,VBN
off-shore,RB
officially,RB
offshore,RB
offsaddled,VBD
off-level,JJ
off-duty,JJ
offering,VBG
offer,VBP
off-stage,RB
offered,VBN
offstage,RB
officio,FW-NN
office's,NN$-TL
offing,NN
off-farm,JJ
offal,NN
offensives,NNS
offset,VB
off-track,NNP
off-key,JJ
officiate,VB
officiating,VBG
offersey,NNS
oftentimes,RB
offbeat,JJ
off,RB
off-broadway,NN
offender,NN
of,IN
official,NN
off-beat,JJ
officeholders,NNS
offended,VBN
offhand,JJ
offices,NNS
officer,NN
oft,RB
offenders,NNS
offend,VB
offensively,RB
oft-repeated,JJ
off-year,JJ
officialdom,NN
