term,tag
olivefaced,JJ
olympia,NNP
olympic,NNP
ologies,NNS
old,JJ
ole,JJ-TL
oleophilic,JJ
olson's,NP$
olive-green,JJ
olive-flushed,JJ
ol,JJ
oldest,JJS
olden,JJ
old-timers,NNS
oldenburg,NP
olives,NNS
oliver,NNP
olivet,NP-TL
old-grad-type,NN
old-fashioned,JJ
oleophobic,JJ
olgivanna,NP
old-line,NN
olvey,NP
olympian,JJ
olympics,NPS
olivetti,NP
olde,JJ
old-timer,NN
oldsters,NNS
olson,NNP
oldies,NNS
ol',JJ
old-time,JJ
olivia,NP
old-age,NN
olive,JJ
olatunji,NP
oleanders,NNS
oleomargarine,NN
oldenburg's,NP$
oliver's,NP$
olaf,NP-TL
old-style,JJ
older,JJR
olga,NP
oleg,NP
oldsmobile,NP
olim,FW-RB
olsen,NNP
olney,NP-TL
olerichs,NP
old-house,NNP
