term,tag
overpriced,VBN
over,IN
overstepping,VBG
overproduction,NN
overhangs,NNS
overpowering,VBG
overshot,VBD
oven,NN
overhauling,VBG
overconfident,JJ
overwhelmed,VBN
overlapped,VBD
over/under,JJ
overhaul,VB
over-the-counter,JJ
overcurious,JJ
overlying,VBG
overcerebral,JJ
overgrazing,VBG
overage,JJ
overtook,VBD
overthrow,NN
override,VB
oversize,JJ
overdoing,VBG
oversight,NN
overcome,VB
overwritten,VBN
overeating,VBG
over-simplification,NN
overpowered,VBN
over-subscribed,VBN
overemphasis,NN
overpressure,NN
overall,JJ
overfall,NN-TL
overdone,VBN
overemphasized,VBN
overlooks,VBZ
over-occupied,JJ
overcomes,VBZ
oversoftness,NN
overeat,VB
overthrown,VBN
overused,VBN
overriding,VBG
ovation,NN
oversubscribed,VBN
overworked,VBN
overtures,NNS
overflowing,VBG
overexploitation,NN
overprotective,JJ
overtaxed,VBN
overpopulated,VBN
overnighters,NNS
overwhelm,VB
overheated,VBN
overburdened,VBN
overflowed,VBD
overtones,NNS
over-emphasized,VBN
overcame,VBD
overlay,VBD
overdriving,VBG
overly,QL
overlap,VB
overgrown,VBN
overdue,JJ
oversized,JJ
overrated,VBN
ovens,NNS
overbearing,JJ
overestimates,VBZ
ovals,NNS
overactive,JJ
overvalued,VBD
over-night,JJ
over-spent,VBN
over-simple,JJ
over-emphasize,VB
overestimated,VBN
overindulged,VBD
overgenerous,JJ
overtake,VB
oversee,VB
overlaid,VBN
over-corrected,VBD
overseer,NN
overexcited,VBN
overruns,NNS
overcoat,NN
overvaulting,JJ
over-arranged,JJ
overheating,NN
oval,NN
overpayment,NN
overrode,VBD
over-achievers,NNS
overexpose,VB
overheat,VB
overlook,VB
overshadow,VB
overblown,JJ
overexploited,VBN
overtime,NN
overhead,JJ
over-chilling,NN
oversimplified,VBN
overlords,NPS
overtakin',VBG
overlooked,VBD
overhang,NN
overpaid,VBN
over-large,JJ
overlaps,VBZ
overestimation,NN
overwhelmingly,RB
overlapping,VBG
overture,NN
overburden,VB
overflow,NN
overwhelming,JJ
overrun,NN
oversoft,JJ
overtaken,VBN
overloaded,VBN
overpowers,VBZ
overhand,JJ
overpaying,VBG
overcooled,VBN
over-,JJ
overfill,VB
overland,RB
over-stitched,VBN
overboard,RB
overstraining,VBG
overnight,JJ
overran,VBD
overheard,VBN
overleveraged,JJ
overtly,RB
overfeed,VB
overshoes,NNS
overstated,VBN
oversimplification,NN
over-pretended,JJ
overhearing,VBG
overcoming,VBG
overdeveloped,VBN
overshoots,VBZ
overcoats,NNS
over-all,JJ
overturning,VBG
overpopulation,NN
oviform,JJ
overridden,VBN
overweight,JJ
overplayed,VBD
overprotection,NN
overcrowded,VBN
overreach,NP
ova,NN-NC
overcapacity,NN
overaggressive,JJ
over-produce,VB
overalls,NNS
overt,JJ
overturned,VBN
overreaches,VBZ
overlooking,VBG
over-hand,RB
overloud,JJ
overcast,NN
overshadowed,VBD
overload,VB
overreached,VBD
overcooked,VBN
over-achievement,NN
overseas,JJ
overcrowding,NN
overeager,JJ
