term,tag
portwatchers',NNS$-TL
portraying,VBG
pointing,VBG
powdery,JJ
powders,NNS
polonaise,NN
post-civil,JJ
pooched,VBD
poeple's,NNS$
policeman-murderer,NN
poorly,RB
polarity,NN
pornographic,JJ
polyunsaturated,JJ-HL
powderpuff,NN
poorest,JJT
poore,NNP
ponkob,NP
portentous,JJ
ponchartrain,NP-TL
polyethers,NNS
positivists,NNS
poetizing,VBG
portfolios,NNS
poesy,NP-TL
pompey,NP-TL
postage-prepaid,JJ
polytechnic,NNP
posseman,NN
polymeric,JJ
polyphosphate,NN
posture,NN
porgy,NP-TL
pooled,VBN
pops's,NP$
porpoises,NNS
policeman,NN
positions,NNS
posts,NNS
polling,VBG
poppy,NN
policeman's,NN$
pontchartrain,NP-TL
pork,NN
politicking,NN
portable,JJ
pore,NN
post-bellum,JJ
pound-of-flesh,NN
post-reapportionment,JJ
port,NN
poke,VB
postman,NN
poisonous,JJ
poison,NN
pornsen,NP
poles,NNS
poindexter,NP
powell's,NP$
populaires,FW-JJ-TL
portrays,VBZ
poverty,NN
possibility,NN
post-graduate,JJ-TL
pololu,NP-TL
polystyrene,NN
popes,NNS-TL
pooling,VBG-TL
populaire,FW-JJ-TL
postponed,VBN
poussins,NPS
pomaded,VBN
pony,NN
potboilers,NNS
poet-painter,NN
positive,JJ
poodle,NN
pompons,NNS
pollock,NP
polecat,NN
possession,NN
popped,VBD
poultices,NNS
polymerizations,NNS
populations,NNS
polyether,NN
portraiture,NN
portended,VBD
poupin,NP
pouch,NN
pontifical,JJ
porcupines,NNS
powerfulness,NN
pout,NN
pompadour,NP
policemen,NNS
posthumous,JJ
pour,VB
polysiloxanes,NN
poseur,NN
power's,NP$
pool-care,NN
post's,NN$-TL
powers-that-be,NNS
pont,NNP
pons,NP
pointedly,RB
poetrie,NN-TL
posing,VBG
pond,NN
portago,NP
polio,NN
portage,NP
poking,VBG
poetry,NN
pocketful,NN
polis,FW-NN
potowomut,NP
pomerania,NP
ponderous,JJ
poker,NN
potlatches,NPS
ponies,NNS
possum,NN
poughkeepsie,NP
poked,VBN
poignancy,NN
polarities,NNS
poseidon,NP
poaches,VBZ
pothole,NN
pointed,VBD
pointer,NN
police,NNS
possessions,NNS
policy-oriented,JJ
polarizing,VBG
polities,NNS
policy,NN
poynting-robertson,NP
popularism,NP
post-war,JJ
poconos,NPS
pollen-and-nectar,NN
popularly,RB
postwar,JJ
powerful,JJ
pogue,NP
podger,NP
porters,NPS
possess,VBP
porto,NP
potatoes,NNS
pohl's,NP$
possibilities,NNS
poor's,NP$
pools,NNS
ports,NNS
poetically,RB
policed,VBN
populated,VBN
poitrine,NP
positioned,VBN
pokes,VBZ
portland,NP-TL
poncho,NN
popping,VBG
populace,NN
pontius,NP
post-operative,JJ
potomac,NP-TL
pool-owners,NNS
postpone,VB
porterhouse,NP
pours,VBZ
porcelain,NN
pool's,NN$
polarize,VB
poignantly,RB
poltava,NP
poems,NNS
podolia,NP
poultry-loving,JJ
po'k,NN
pokerfaced,JJ
post-hearing,JJ
potting,VBG
pocket-size,NN
pound-foolish,JJ
posse's,NN$
potions,NNS
possessing,VBG
polyproplene,NN
potter,NP
pornographer,NN-TL
potted,VBN
polymerization,NN
polybutene,NN
pots,NNS
polyether-type,JJ
