term,tag
quebec,NP-TL
qualms,NNS
quizzical,JJ-TL
quoted,VBN
queen,NNP
quarters,NNS
quotes,VBZ
quarrels,NNS
questioningly,RB
quakers,NPS
questions,NNS
queer,JJ
query,NN
quarterbacks,NNS
queerest,JJT
questioner,NN
quietism,NP
quaint,JJ
quickened,VBN
quadruple,VB
quadrennial,JJ
questioned,VBD
quarterly,JJ
quant,NN
quietist,JJ
quibusdam,FW-WPO
qualifies,VBZ
querulous,JJ
quirking,VBG
quirk,NN
quod,FW-WDT
quick-handling,JJ
quelling,VBG
quest,NN
quirt,NN
querying,VBG
quadrupled,VBN
quarter-mile,NN
queried,VBD
quibs,NNS
quasi-governmental,JJ
quasimodo,NP
quarter-century,NN
qualitative,JJ
qua,FW-WDT
quadrille,NN-TL
queries,NNS
quickie,NN
quaking,VBG
quixote,NP
quarter,NN
quartet,NN-TL
quinzaine,NP
quarrymen,NNS
quicker,JJR
quake,NN
quaker,NP
quartz,NN
quake's,NN$
quantum,NN
qualitatively,RB
questionnaire,NN
quill,NN
quicken,VB
quok,FW-WDT
quenching,NN
quincy,NP
quiney's,NP$
quintana,NP
quadrillion,CD
quickest,JJT
quince,NN
quitting,VBG
questioners,NNS
quadrupling,NN
quipped,VBD
quite,RB
quart,NN
quick,JJ
quell,VB
que,FW-WDT
qui,FW-WPS
quits,VBZ
quiet-spoken,JJ
quemoy,NP
quickstep,NN
quo,FW-WDT
quebec's,NP$
quirinal,NP-TL
quelch,NP
quarrelsome,JJ
qualify,VB
queued,VBN
quibble,VB
qualification,NN
quarter-century-old,JJ
quatrain,NN
quint's,NP$
quietly,RB
quadriceps,NN
quaver,NN
quarreled,VBN
quint,NP
quintets,NNS
quasi-mechanistic,JJ
quick-drying,JJ
quickly,RB
quality,NN
quivered,VBD
quit,VB
quyney,NP
qualifying,VBG
question,NN
quotas,NNS
quiz,NN
quirks,NNS
quipping,VBG
quadripartite,JJ
quiney,NP
quasi-recitative,JJ
quadratic,JJ
quackery,NN
questionable,JJ
quack,NN
quashing,VBG
quarry,NN
questionaire,NN
quintet,NN-TL
quickening,VBG
queerer,JJR
quam,FW-CS
quiescent,JJ
quasi-folk,JJ
quotation,NN
quietness,NN
question-and-answer,NN
quoting,VBG
quilted,VBN
quantitatively,RB
queuing,VBG
quicksilver,NN
quivers,NNS
quacked,VBD
quintus,FW-OD-NC
quarrel,NN
querulously,RB
quartermaster,NN-TL
queers,NNS
quivering,VBG
quench,VB
quasi-performer,NN
quiet,JJ
quasimodo's,NP$
queen's,NN$-TL
questionnaires,NNS
quacks,NNS
quieter,JJR
quarter-to-quarter,JJ
quantitive,JJ
quarreling,VBG
quakeress,NP
quagmire,NN
quieted,VBD
quadric,JJ
quantities,NNS
quick-frozen,VBN
quarterback,NN
quintillion,CD
quashed,VBN
queasiness,NN
quote,VB
quarts,NNS
qualifications,NNS
quota,NN
questioning,VBG
quick-wate,NP
quips,VBZ
quarter-inch,NN
quick-kill,NN
queens,NNS
quetzal,NN
quickness,NN
queens',NNS$-TL
quavering,VBG
qualified,VBN
qualities,NNS
quixotic,JJ
quantitative,JJ
quyne,NP
quotations,NNS
quavered,VBD
quantity,NN
